cfr_title,cfr_part,part_heading,term
2,176,"Award terms for assistance agreements that include funds under the American Recovery and Reinvestment Act of 2009, Public Law 111-5",Grant programs
2,176,"Award terms for assistance agreements that include funds under the American Recovery and Reinvestment Act of 2009, Public Law 111-5",Loan programs
2,176,"Award terms for assistance agreements that include funds under the American Recovery and Reinvestment Act of 2009, Public Law 111-5",Wages
2,180,OMB guidelines to agencies on governmentwide debarment and suspension (nonprocurement),Administrative practice and procedure
2,180,OMB guidelines to agencies on governmentwide debarment and suspension (nonprocurement),Grant programs
2,180,OMB guidelines to agencies on governmentwide debarment and suspension (nonprocurement),Loan programs
2,180,OMB guidelines to agencies on governmentwide debarment and suspension (nonprocurement),Reporting and recordkeeping requirements
2,182,Governmentwide requirements for drug-free workplace (financial assistance),Administrative practice and procedure
2,182,Governmentwide requirements for drug-free workplace (financial assistance),Drug abuse
2,182,Governmentwide requirements for drug-free workplace (financial assistance),Grant programs
2,182,Governmentwide requirements for drug-free workplace (financial assistance),Reporting and recordkeeping requirements
2,183,Never contract with the enemy,Foreign aid
2,183,Never contract with the enemy,Grant programs
2,183,Never contract with the enemy,Grants administration
2,183,Never contract with the enemy,International organizations
2,183,Never contract with the enemy,Reporting and recordkeeping requirements
2,184,Buy America preference for infrastructure projects,Administrative practice and procedure
2,200,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Accounting
2,200,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Administrative practice and procedure
2,200,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Colleges and universities
2,200,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grant programs
2,200,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grants administration
2,200,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Hospitals
2,200,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Indians
2,200,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Loan programs
2,200,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Nonprofit organizations
2,200,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Reporting and recordkeeping requirements
2,200,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",State and local governments
2,300,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Accounting
2,300,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Administrative practice and procedure
2,300,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Government contracts
2,300,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grants administration
2,300,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Loan programs
2,300,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Scholarships and fellowships
2,376,Nonprocurement debarment and suspension,Administrative practice and procedure
2,376,Nonprocurement debarment and suspension,Grant programs
2,376,Nonprocurement debarment and suspension,Reporting and recordkeeping requirements
2,382,Requirements for drug-free workplace (financial assistance),Administrative practice and procedure
2,382,Requirements for drug-free workplace (financial assistance),Drug abuse
2,382,Requirements for drug-free workplace (financial assistance),Grant programs-health
2,382,Requirements for drug-free workplace (financial assistance),Reporting and recordkeeping requirements
2,400,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Accounting
2,400,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Administrative practice and procedure
2,400,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Agriculture
2,400,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grant programs-agriculture
2,400,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Loan programs-agriculture
2,401,Buy America preferences for infrastructure projects,Business and industry
2,401,Buy America preferences for infrastructure projects,Grant programs
2,401,Buy America preferences for infrastructure projects,Loan programs
2,401,Buy America preferences for infrastructure projects,Loan programs-agriculture
2,402,Buy America preferences for infrastructure projects,Business and industry
2,402,Buy America preferences for infrastructure projects,Grant programs
2,402,Buy America preferences for infrastructure projects,Loan programs
2,402,Buy America preferences for infrastructure projects,Loan programs-agriculture
2,415,General program administrative regulations,Accounting
2,415,General program administrative regulations,Administrative practice and procedure
2,415,General program administrative regulations,Agriculture
2,415,General program administrative regulations,Grant programs
2,415,General program administrative regulations,Loan programs
2,416,General program administrative regulations for grants and cooperative agreements to State and local governments,Accounting
2,416,General program administrative regulations for grants and cooperative agreements to State and local governments,Administrative practice and procedure
2,416,General program administrative regulations for grants and cooperative agreements to State and local governments,Agriculture
2,416,General program administrative regulations for grants and cooperative agreements to State and local governments,Grant programs
2,416,General program administrative regulations for grants and cooperative agreements to State and local governments,Loan programs
2,417,Nonprocurement debarment and suspension,Administrative practice and procedure
2,417,Nonprocurement debarment and suspension,Grant programs
2,417,Nonprocurement debarment and suspension,Loan programs
2,417,Nonprocurement debarment and suspension,Reporting and recordkeeping requirements
2,418,New restrictions on lobbying,Government procurement
2,418,New restrictions on lobbying,Grant programs
2,418,New restrictions on lobbying,Loan programs
2,418,New restrictions on lobbying,Lobbying
2,418,New restrictions on lobbying,Reporting and recordkeeping requirements
2,421,Requirements for drug-free workplace (financial assistance),Administrative practice and procedure
2,421,Requirements for drug-free workplace (financial assistance),Drug abuse
2,421,Requirements for drug-free workplace (financial assistance),Grant programs
2,421,Requirements for drug-free workplace (financial assistance),Reporting and recordkeeping requirements
2,422,Research institutions conducting USDA-funded extramural research; research misconduct,Government procurement
2,422,Research institutions conducting USDA-funded extramural research; research misconduct,Grant programs
2,422,Research institutions conducting USDA-funded extramural research; research misconduct,Loan programs
2,422,Research institutions conducting USDA-funded extramural research; research misconduct,Lobbying
2,422,Research institutions conducting USDA-funded extramural research; research misconduct,Reporting and recordkeeping requirements
2,423,Geospatial data management and standards for federal financial assistance awards,Grant programs
2,423,Geospatial data management and standards for federal financial assistance awards,Loan programs
2,423,Geospatial data management and standards for federal financial assistance awards,Reporting and recordkeeping requirements
2,600,"The uniform administrative requirements, cost principles, and audit requirements for Federal awards",Accounting
2,600,"The uniform administrative requirements, cost principles, and audit requirements for Federal awards",Administrative practice and procedure
2,600,"The uniform administrative requirements, cost principles, and audit requirements for Federal awards",Government contracts
2,600,"The uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grants administration
2,600,"The uniform administrative requirements, cost principles, and audit requirements for Federal awards",Loan programs
2,600,"The uniform administrative requirements, cost principles, and audit requirements for Federal awards",Scholarships and fellowships
2,601,Nonprocurement debarment and suspension,Administrative practice and procedure
2,601,Nonprocurement debarment and suspension,Grant programs
2,601,Nonprocurement debarment and suspension,Reporting and recordkeeping requirements
2,700,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Accounting
2,700,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Administrative practice and procedure
2,700,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grant programs
2,700,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Loan programs
2,701,Partner vetting in US AID assistance,Foreign aid
2,701,Partner vetting in US AID assistance,Government contracts
2,701,Partner vetting in US AID assistance,Grant programs-foreign relations
2,701,Partner vetting in US AID assistance,Loan programs-foreign relations
2,780,Nonprocurement debarment and suspension,Administrative practice and procedure
2,780,Nonprocurement debarment and suspension,Grant programs
2,780,Nonprocurement debarment and suspension,Reporting and recordkeeping requirements
2,782,Requirements for drug-free workplace (financial assistance),Administrative practice and procedure
2,782,Requirements for drug-free workplace (financial assistance),Drug abuse
2,782,Requirements for drug-free workplace (financial assistance),Grant programs
2,782,Requirements for drug-free workplace (financial assistance),Reporting and recordkeeping requirements
2,801,Nonprocurement debarment and suspension,Administrative practice and procedure
2,801,Nonprocurement debarment and suspension,Grant programs
2,801,Nonprocurement debarment and suspension,Reporting and recordkeeping requirements
2,802,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Accounting
2,802,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Administrative practice and procedure
2,802,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Government contracts
2,802,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grants administration
2,802,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Loan programs
2,802,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Scholarships and fellowships
2,901,Nonprocurement debarment and suspension,Administrative practice and procedure
2,901,Nonprocurement debarment and suspension,Grant programs
2,901,Nonprocurement debarment and suspension,Reporting and recordkeeping requirements
2,902,Requirements for drug-free workplace (financial assistance),Administrative practice and procedure
2,902,Requirements for drug-free workplace (financial assistance),Drug abuse
2,902,Requirements for drug-free workplace (financial assistance),Grant programs
2,902,Requirements for drug-free workplace (financial assistance),Reporting and recordkeeping requirements
2,910,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Accounting
2,910,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Administrative practice and procedure
2,910,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grant programs
2,910,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Reporting and recordkeeping requirements
2,930,Other transaction agreements,Accounting
2,930,Other transaction agreements,Administrative practice and procedure
2,930,Other transaction agreements,Grant programs
2,930,Other transaction agreements,Reporting and recordkeeping requirements
2,1000,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Accounting
2,1000,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Administrative practice and procedure
2,1000,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grant programs
2,1000,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Grants administration
2,1000,"Uniform administrative requirements, cost principles, and audit requirements for Federal awards",Reporting and recordkeeping requirements
2,1104,Implementation of governmentwide guidance for grants and cooperative agreements,Business and industry
2,1104,Implementation of governmentwide guidance for grants and cooperative agreements,Colleges and universities
2,1104,Implementation of governmentwide guidance for grants and cooperative agreements,Grant programs
2,1104,Implementation of governmentwide guidance for grants and cooperative agreements,Grants administration
2,1104,Implementation of governmentwide guidance for grants and cooperative agreements,Hospitals
2,1104,Implementation of governmentwide guidance for grants and cooperative agreements,Indians
2,1104,Implementation of governmentwide guidance for grants and cooperative agreements,Nonprofit organizations
2,1104,Implementation of governmentwide guidance for grants and cooperative agreements,Small businesses
2,1104,Implementation of governmentwide guidance for grants and cooperative agreements,State and local governments
2,1108,Definitions of terms used in subchapters A through F of this chapter,Accounting
2,1108,Definitions of terms used in subchapters A through F of this chapter,Business and industry
2,1108,Definitions of terms used in subchapters A through F of this chapter,Colleges and universities
2,1108,Definitions of terms used in subchapters A through F of this chapter,Grant programs
2,1108,Definitions of terms used in subchapters A through F of this chapter,Grants administration
2,1108,Definitions of terms used in subchapters A through F of this chapter,Hospitals
2,1108,Definitions of terms used in subchapters A through F of this chapter,Indians
2,1108,Definitions of terms used in subchapters A through F of this chapter,Nonprofit organizations
2,1108,Definitions of terms used in subchapters A through F of this chapter,Reporting and recordkeeping requirements
2,1108,Definitions of terms used in subchapters A through F of this chapter,Small businesses
2,1108,Definitions of terms used in subchapters A through F of this chapter,State and local governments
