authority_text,nrows,removed,added
"18 U.S.C. 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after Nov. 1, 1987)",8,"('usc', 18, '1987', None)",""
sec. 206 of the Food Allergen Labeling and Consumer Protection Act,8,"('act_relative', None, None, None)","('other', None, None, None)"
49 46105,8,"('usc', 49, '46105', None)","('other', None, None, None)"
sec 1154 to 1160 of the Social Security Act,8,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1102 and 1871 of the Social Security Act,8,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 202(a),8,"('act_relative', None, None, None)","('other', None, None, None)"
FOIA Improvement Act 2016,7,"('act_relative', None, None, None)","('other', None, None, None)"
of the Social Security Act,7,"('act_relative', None, None, None)","('other', None, None, None)"
"sec 106, paragraph (g) of the Trafficking Victims Protection Act of 2000, as amended",7,"('act_relative', None, None, None)","('other', None, None, None)"
"sec 658E and other provisions of the Child Care and Development Block Grant Act of 1990, as amended",7,"('act_relative', None, None, None)","('other', None, None, None)"
"Fair Chance to Compete for Jobs Act of 2019 (Fair Chance Act), title XI, subtitle B of National Defense Authorization Act for Fiscal Year 2019",7,"('act_relative', None, None, None)","('other', None, None, None)"
"sec 1869 (b) of the Act, as amended by sec 521 of BIPA",7,"('act_relative', None, None, None)","('other', None, None, None)"
"FAA Reauthorization Act of 2018, Sec. 427",7,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1864",7,"('act_relative', None, None, None)","('other', None, None, None)"
"Communications Act of 1934, as amended",7,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 103 of the 2020 PIPES Act,7,"('act_relative', None, None, None)","('other', None, None, None)"
"Title IV, sec 402 of the JTPA",7,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Water Act 304,7,"('act_relative', None, None, None)","('other', None, None, None)"
Tax Relief and Health Care Act of 2006,7,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 221 (i) of the Social Security Act,7,"('act_relative', None, None, None)","('other', None, None, None)"
3474,7,"('usc', 20, '3474', None)","('other', None, None, None)"
Outer Continental Shelf Lands Act,7,"('act_relative', None, None, None)","('other', None, None, None)"
sec 6044,7,"('public_law', None, None, None)","('other', None, None, None)"
"secs. 301, 304, 306, 307, 308, 402, and 501 of the Clean Water Act",7,"('act_relative', None, None, None)","('other', None, None, None)"
"CAA as amended, title I",7,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1171 to 1179",7,"('act_relative', None, None, None)","('other', None, None, None)"
TSCA 5(a),7,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Water Act 306,7,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Water Act 402,7,"('act_relative', None, None, None)","('other', None, None, None)"
2277a-10),7,"('usc', 12, '2277a-10', None)","('other', None, None, None)"
Clean Water Act 501,7,"('act_relative', None, None, None)","('other', None, None, None)"
"MMA of 2003, sec 303(d)",7,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 4312(a) of BBA of 1997,7,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 207 of the Telecommunications Act of 1996,7,"('act_relative', None, None, None)","('other', None, None, None)"
300gg-91 to 300gg-92,7,"('usc', 42, '300gg-91', None)","('other', None, None, None)"
"Social Security Act, sec 1128",7,"('act_relative', None, None, None)","('other', None, None, None)"
"111-5, sec. 13111 to 13112",7,"('public_law', None, None, None)","('other', None, None, None)"
1467a,7,"('usc', 12, '1467a', None)","('other', None, None, None)"
Atomic Energy Act of 1954,7,"('act_relative', None, None, None)","('other', None, None, None)"
Flammable Fabrics Act,7,"('act_relative', None, None, None)","('other', None, None, None)"
"sec. 248(a) of the Trade Act of 1974, as amended",7,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 111(d),7,"('act_relative', None, None, None)","('other', None, None, None)"
CEA sec 4c,7,"('act_relative', None, None, None)","('other', None, None, None)"
"Fair Labor Standards Act of 1938 (as amended), section 4(f)",7,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Water Act 307,7,"('act_relative', None, None, None)","('other', None, None, None)"
sec 307 FDA Food Safety Modernization Act,7,"('act_relative', None, None, None)","('other', None, None, None)"
sec 6402(a),7,"('public_law', None, None, None)","('other', None, None, None)"
ERISA sec 104,7,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec 110,7,"('act_relative', None, None, None)","('other', None, None, None)"
"Title IV, sec 401 of the JTPA",7,"('act_relative', None, None, None)","('other', None, None, None)"
"title VIII, subtitle G, sec. 8705 of the Agriculture Improvement Act of 2018",7,"('act_relative', None, None, None)","('other', None, None, None)"
20107,7,"('usc', 49, '20107', None)","('other', None, None, None)"
CAA 211(o),7,"('act_relative', None, None, None)","('other', None, None, None)"
MAP-21,7,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Water Act 308,7,"('act_relative', None, None, None)","('other', None, None, None)"
Privacy Act,7,"('act_relative', None, None, None)","('other', None, None, None)"
sec 4312(a) of BBA of 1997,7,"('act_relative', None, None, None)","('other', None, None, None)"
The Gramm-Leach-Bliley Act,7,"('act_relative', None, None, None)","('other', None, None, None)"
"Federal Insecticide, Fungicide, and Rodenticide Act sec 3",7,"('act_relative', None, None, None)","('other', None, None, None)"
Fostering Connections to Success and Increasing Adoptions Act of 2008,7,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Water Act 301,7,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 211(c),7,"('act_relative', None, None, None)","('other', None, None, None)"
"The Federal Food, Drug, and Cosmetic Act",7,"('act_relative', None, None, None)","('other', None, None, None)"
sec 2114(e) of the Public Health Service Act,7,"('act_relative', None, None, None)","('other', None, None, None)"
Sec. 3(r) and 7(a) of the Small Business Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
Resource Conservation Recovery Act sec 3006,6,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1614(f) of the Social Security Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4082 (repealed in part as to conduct occurring on or after Nov. 1, 1987)",6,"('usc', 18, '1987', None)",""
sec 172(a),6,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec. 523,6,"('act_relative', None, None, None)","('other', None, None, None)"
"SECURE 2.0 Act of 2022, sec. 120",6,"('act_relative', None, None, None)","('other', None, None, None)"
Martha Wright-Reed Just and Reasonable Communications Act of 2022,6,"('act_relative', None, None, None)","('other', None, None, None)"
Superfund (CERCLA) sec 102,6,"('act_relative', None, None, None)","('other', None, None, None)"
CAAA 172(c),6,"('act_relative', None, None, None)","('other', None, None, None)"
Federal Meat Inspection Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
21st Century Department of Justice Appropriations Authorization Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
USC 6662,6,"('usc', 26, '6662', None)","('other', None, None, None)"
sec. 1128D(b) of the Social Security Act and section 102 of the Social Security Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
"20118 and 20119, 20156, 21301, 21304, 21311",6,"('usc', 49, '20118', None) | ('usc', 49, '20119', None) | ('usc', 49, '20156', None) | ('usc', 49, '21301', None) | ('usc', 49, '21304', None) | ('usc', 49, '21311', None)","('other', None, None, None)"
"SECURE 2.0 Act of 2022, sec. 303",6,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1171 to 1179 of the Social Security Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
USC 6662A,6,"('usc', 26, '6662a', None)","('other', None, None, None)"
"CAA 112(f)(2), 112(d)(6)",6,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec. 3(45),6,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 1819(d)(4)(B) and 1919(d)(4)(B) of the Social Security Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
USC 6664,6,"('usc', 26, '6664', None)","('other', None, None, None)"
"Social Security Act, title V, sec 502(a)(1)",6,"('act_relative', None, None, None)","('other', None, None, None)"
TSCA 402 and 404,6,"('act_relative', None, None, None)","('other', None, None, None)"
Sec. 369(d) of the Energy Policy Act of 2005,6,"('act_relative', None, None, None)","('other', None, None, None)"
sec 932 (c) (2) MMA,6,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1128(c)(3)(b)",6,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, title V, sec 501(a)(2)",6,"('act_relative', None, None, None)","('other', None, None, None)"
"Pub. L. 115-232, 132 Stat. 2208 (50 U.S.C. 4801 et seq.) Notice of August 8, 2018, 83 FR 39871 (August 13, 2018)",6,"('usc', 50, '2018', None)",""
Social Security Act 204(b),6,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 112(f)(2),6,"('act_relative', None, None, None)","('other', None, None, None)"
sec 602 of the Agricultural Trade Act of 1978,6,"('act_relative', None, None, None)","('other', None, None, None)"
Federal Employees' Retirement System (FERS) Act of 1986,6,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 114,6,"('act_relative', None, None, None)","('other', None, None, None)"
Balanced Budget Act of 1997,6,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 129 and 111(d),6,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 3505 of the Modernization of Cosmetics Regulation Act of 2022,6,"('act_relative', None, None, None)","('other', None, None, None)"
"SECURE 2.0 Act of 2022, sec. 127",6,"('act_relative', None, None, None)","('other', None, None, None)"
"secs 3(a), 406, and 407 of the Sarbanes-Oxley Act of 2002",6,"('act_relative', None, None, None)","('other', None, None, None)"
"""Nuclear Waste Policy Act of 1982""",6,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 112B(6)(A)",6,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1102 and 1871",6,"('act_relative', None, None, None)","('other', None, None, None)"
SAFETEA-LU,6,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec. 1813 (b)(2)",6,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 202(a) and 211(v),6,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec. 803,6,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1128A(a)(5)",6,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1159",6,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 328,6,"('act_relative', None, None, None)","('other', None, None, None)"
"7 USC 612c, sec 32 of the Act of August 24, 1935",6,"('usc', 7, '1935', None)",""
Solid Waste Disposal Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
secs. 1819 and 1919 of the Social Security Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
Section 1102 of the Social Security Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
USC 15001 et seq,6,"('usc', 42, '15001', None)","('other', None, None, None)"
TSCA 6,6,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1886 of the Social Security Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 112B(6)",6,"('act_relative', None, None, None)","('other', None, None, None)"
"1715w, 1735d",6,"('usc', 12, '1715w', None) | ('usc', 12, '1735d', None)","('other', None, None, None)"
sec 1101(c) of the Violence Against Women Reauthorization Act of 2013,6,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, secs 1102, 1871, 1848",6,"('act_relative', None, None, None)","('other', None, None, None)"
sec 206 of the Food Allergen Labeling and Consumer Protection Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4001, 4042, 4942, 4081, and 4082 (Repealed in part as to conduct occurring on or after November 1, 1987)",6,"('usc', 18, '1987', None)",""
sec. 474(a)(3) of the Social Security Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
"FAA Reauthorization Act of 2018, sec. 427",6,"('act_relative', None, None, None)","('other', None, None, None)"
Sec. 60506 of the Infrastructure Investment and Jobs Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
"49 U.S.C. App. 1(4), 3(1), 15(1) (1988)",6,"","('usc', 49, '15', None) | ('usc', 49, '3', None)"
Clean Air Act section 129,6,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 934 of the MMA,6,"('act_relative', None, None, None)","('other', None, None, None)"
3821 to 3824,6,"('usc', 16, '3821', None)","('other', None, None, None)"
"18 U.S.C. 3568 (repealed Nov. 1, 1987, as to offenses committed on or after that date)",6,"('usc', 18, '1987', None)",""
SAFETEA-LU sec 4212,6,"('act_relative', None, None, None)","('other', None, None, None)"
sec 13632(a)(3),6,"('public_law', None, None, None)","('other', None, None, None)"
sec 32911 of MAP-21,6,"('act_relative', None, None, None)","('other', None, None, None)"
2008 Food and Nutrition Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1154",6,"('act_relative', None, None, None)","('other', None, None, None)"
"sections 2, 3(b) and 6-7 of the Wireless Communications and Public Safety Act",6,"('act_relative', None, None, None)","('other', None, None, None)"
CAAA 165(e),6,"('act_relative', None, None, None)","('other', None, None, None)"
CAAA 172(a),6,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 112(b)(3),6,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 5006 to 5024 (Repealed October 12, 1984, as to offenses committed after that)",6,"('usc', 18, '1984', None)",""
"Other sections of FDA Food Safety Modernization Act, as appropriate",6,"('act_relative', None, None, None)","('other', None, None, None)"
CEA secs 4(c)(b) and 8(a)(5),6,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 102 of the Homeland Security Act of 2002,6,"('act_relative', None, None, None)","('other', None, None, None)"
"ERISA sec. 3(18), 408(e)",6,"('act_relative', None, None, None)","('other', None, None, None)"
Improper Payment Information Act of 2002,6,"('act_relative', None, None, None)","('other', None, None, None)"
CAAA 320,6,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 160 to 169,6,"('act_relative', None, None, None)","('other', None, None, None)"
Regulatory Flexibility Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
Section 407 of the Clean Air Act Amendments of 1990,6,"('act_relative', None, None, None)","('other', None, None, None)"
secs 1864 and 1865 of the Social Security Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4082 (repealed in part as to offenses committed on or after November 1, 1987)",6,"('usc', 18, '1987', None)",""
sec 1302 of the Foreign Relations Authorization Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 301,6,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Water Act sec 304(h),6,"('act_relative', None, None, None)","('other', None, None, None)"
Social Security Act 1631(b)(1)(B),6,"('act_relative', None, None, None)","('other', None, None, None)"
"1715z-16, 1715u, and 1715z-21",6,"('usc', 12, '1715u', None) | ('usc', 12, '1715z-16', None) | ('usc', 12, '1715z-21', None)","('other', None, None, None)"
Government Paperwork Elimination Act 17,6,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4001, 4042, 4942, 4081, 4082 (Repealed in part as to conduct occurring on or after November 1, 1987)",6,"('usc', 18, '1987', None)",""
sec 723(c)(3) of the Dodd-Frank Wall Street Reform and Consumer Protection Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 312(f)(4)(A),6,"('act_relative', None, None, None)",""
sec 1817(i) and 1871 of the Social Security Act,6,"('act_relative', None, None, None)","('other', None, None, None)"
"SECURE 2.0 Act of 2022, sec. 346",6,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4161 to 4166 (Repealed as to offenses committed on or after November 1, 1987)",6,"('usc', 18, '1987', None)",""
"50 U.S.C. app. 2061 to 2170, 2171, and 2172",5,"","('usc', 50, '2171', None) | ('usc', 50, '2172', None)"
FAST Act sec. 3022,5,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act Title VI,5,"('act_relative', None, None, None)","('other', None, None, None)"
1990 Amendments to the Clean Air Act sections 129,5,"('act_relative', None, None, None)","('other', None, None, None)"
TSCA 5,5,"('act_relative', None, None, None)","('other', None, None, None)"
DRA sec 5111,5,"('act_relative', None, None, None)","('other', None, None, None)"
Creating Advanced Streamlined Electronic Services for Constituents (CASES) Act of 2019,5,"('act_relative', None, None, None)","('other', None, None, None)"
1437n,5,"('usc', 42, '1437n', None)","('other', None, None, None)"
"2244, 2252, 2277a, 2277a-7,2277a-10",5,"('usc', 12, '2244', None) | ('usc', 12, '2252', None) | ('usc', 12, '2277a', None) | ('usc', 12, '2277a-10', None) | ('usc', 12, '2277a-7', None)","('other', None, None, None)"
American Innovation and Manufacturing (AIM) Act of 2020,5,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 203,5,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1895 of the Social Security Act,5,"('act_relative', None, None, None)","('other', None, None, None)"
"Division T - Consolidated Appropriations Act, 2023, H.R. 2617",5,"('act_relative', None, None, None)","('other', None, None, None)"
"Clean Air Act, section 183(e)",5,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec 502(c)(4),5,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1813(b)(2)",5,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 1173(b) of the Social Security Act,5,"('act_relative', None, None, None)","('other', None, None, None)"
OCSLA sec. 5(a)(8),5,"('act_relative', None, None, None)","('other', None, None, None)"
"Ocean Shipping Reform Act of 2022, Sec. 7(d)",5,"('act_relative', None, None, None)","('other', None, None, None)"
Pub. L. 115 to 270,5,"('public_law', None, None, None)","('other', None, None, None)"
Clean Water Act sec 402,5,"('act_relative', None, None, None)","('other', None, None, None)"
The Foreign Affairs Reform and Restructuring Act of 1998,5,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec. 1818(d)(2)",5,"('act_relative', None, None, None)","('other', None, None, None)"
1735f-15,5,"('usc', 12, '1735f-15', None)","('other', None, None, None)"
"sec 2, PL 105-264, 112 Stat 2350 (5 USC 5701 note), Office of Management and Budget Circular No. A-126, Improving the Management and Use of Government Aircraft Revised May 22, 1992",5,"('usc', 5, '1992', None)",""
CAA sec 604,5,"('act_relative', None, None, None)","('other', None, None, None)"
1990 Amendments to the Clean Air Act sections 301(a)(d),5,"('act_relative', None, None, None)","('other', None, None, None)"
sec 212(d)(4)(C) of the Immigration & Nationality Act (INA),5,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act 112,5,"('act_relative', None, None, None)","('other', None, None, None)"
Safe Drinking Water Act sec 1401,5,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 110(k)(5),5,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 165(i)(2) of the Dodd-Frank Wall Street Reform and Consumer Protection Act,5,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1865",5,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1875",5,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1881(b) of the Social Security Act,5,"('act_relative', None, None, None)","('other', None, None, None)"
"Clean Air Act Amendments of 1990, sections 114(a)(3), 503(b),",5,"('act_relative', None, None, None)","('other', None, None, None)"
Resource Conservation Recovery Act sec 3002,5,"('act_relative', None, None, None)","('other', None, None, None)"
Emergency Planning and Community Right-To-Know Act sec 313,5,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1171 to 1179 of the Social Security Act,5,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 110,5,"('act_relative', None, None, None)","('other', None, None, None)"
"Title VIII, subtitle G, sec. 8705 of the Agriculture Improvement Act of 2018",5,"('act_relative', None, None, None)","('other', None, None, None)"
"CAA, title I",5,"('act_relative', None, None, None)","('other', None, None, None)"
"BIPA, sec 623",5,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1877 of the Social Security Act,5,"('act_relative', None, None, None)","('other', None, None, None)"
"BIPA, sec 903",5,"('act_relative', None, None, None)","('other', None, None, None)"
FAA Reauthorization Act of 2018,5,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 112(f),5,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 534(a)(3) of the Equity in Educational Land-Grant Status Act of 1994,5,"('act_relative', None, None, None)","('other', None, None, None)"
Pension Protection Act of 2006,5,"('act_relative', None, None, None)","('other', None, None, None)"
sec 321 of the Energy Independence and Security Act of 2007,5,"('act_relative', None, None, None)","('other', None, None, None)"
PL 112 29,5,"('public_law', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1842",5,"('act_relative', None, None, None)","('other', None, None, None)"
212(a)(10)(d) INA,5,"('act_relative', None, None, None)","('other', None, None, None)"
The Emergency Supplemental Appropriations Act for Defense,5,"('act_relative', None, None, None)","('other', None, None, None)"
secs 6041 to 6043,5,"('public_law', None, None, None)","('other', None, None, None)"
"title XXI of the Social Security Act, sec 2104",5,"('act_relative', None, None, None)","('other', None, None, None)"
"Fish and Wildlife Act of 1956, USC 742a-j",5,"('act_relative', None, None, None)","('other', None, None, None)"
Military Commercial Driver’s License Act of 2012,5,"('act_relative', None, None, None)","('other', None, None, None)"
sec 939(e),5,"('public_law', None, None, None)","('other', None, None, None)"
sec 1881 of the Social Security Act,5,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 202 of the TWWIIA of 1999,5,"('act_relative', None, None, None)","('other', None, None, None)"
CAA title III,5,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec. 1818(d)",5,"('act_relative', None, None, None)","('other', None, None, None)"
section 455(m) of the HEA,5,"('act_relative', None, None, None)","('other', None, None, None)"
CEA sec 8a(5),5,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 211,5,"('act_relative', None, None, None)","('other', None, None, None)"
1990 Amendments to the Clean Air Act sections 111,5,"('act_relative', None, None, None)","('other', None, None, None)"
1437z-3,5,"('usc', 42, '1437z-3', None)","('other', None, None, None)"
"18 U.S.C. 4001, 18 U.S.C. 4042, 18 U.S.C. 4081, 18 U.S.C. 4082 (repealed in part as to offenses committed on or after Nov. 1, 1987)",5,"('usc', 18, '1987', None)",""
Federal Land Policy and Management Act of 1976 (FLPMA),5,"('act_relative', None, None, None)","('other', None, None, None)"
Defense Production Act of 1950,5,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987)",5,"('usc', 18, '1987', None)",""
Sec 1819(b) of the Social Security Act,5,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1851 to 1859",5,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 508(b)(7)(A) Federal Crop Insurance Reform Act of 1994,5,"('act_relative', None, None, None)","('other', None, None, None)"
OSH Act,5,"('act_relative', None, None, None)","('other', None, None, None)"
SDWA 1412(b)(1)(B),5,"('act_relative', None, None, None)","('other', None, None, None)"
sec 401(b),5,"('public_law', None, None, None)","('other', None, None, None)"
Clean Air Act Sec 112,5,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 407,5,"('act_relative', None, None, None)","('other', None, None, None)"
The Debt Collection Improvement Act of 1996,5,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 111(b)(1)(B),5,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 641A of the Head Start Act,5,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1882 of the Social Security Act,5,"('act_relative', None, None, None)","('other', None, None, None)"
Section 1521 of the American Recovery and Reinvestment Act of 2009,5,"('act_relative', None, None, None)","('other', None, None, None)"
"BBA, sec 4001",5,"('act_relative', None, None, None)","('other', None, None, None)"
Resource Conservation Recovery Act sec 3005,5,"('act_relative', None, None, None)","('other', None, None, None)"
"21301, 21303, 21304, 21311",4,"('usc', 49, '21301', None) | ('usc', 49, '21303', None) | ('usc', 49, '21304', None) | ('usc', 49, '21311', None)","('other', None, None, None)"
CWA Section 306,4,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1902(a)(10)",4,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1813(b)(2) of the Social Security Act,4,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 231,4,"('act_relative', None, None, None)","('other', None, None, None)"
"Clean Air Act as amended, section 112",4,"('act_relative', None, None, None)","('other', None, None, None)"
"46 app USC 1101, 1114(b), 1122(d), 1241",4,"","('usc', 46, '1114', None) | ('usc', 46, '1122', None) | ('usc', 46, '1241', None)"
Section 1923(i) of the Social Security Act,4,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1833(h)(8) of the MMA,4,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 303(g) of the Controlled Substances Act (CSA),4,"('act_relative', None, None, None)","('other', None, None, None)"
"1735d, and 1735f-19",4,"('usc', 12, '1735d', None) | ('usc', 12, '1735f-19', None)","('other', None, None, None)"
INA sec. 212(a)(9)(B),4,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec 206(d)(3),4,"('act_relative', None, None, None)","('other', None, None, None)"
Sections 1864 and 1865 of the Social Security Act,4,"('act_relative', None, None, None)","('other', None, None, None)"
Dodd-Frank Wall Street Reform and Consumer Protection Act,4,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act secs 111 and 112,4,"('act_relative', None, None, None)","('other', None, None, None)"
"The Foreign Assistance Act of 1961, as amended",4,"('act_relative', None, None, None)","('other', None, None, None)"
CWA Section 308,4,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1861(v)",4,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1886(a)(4)",4,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 522 of the BIPA,4,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 301(a),4,"('act_relative', None, None, None)","('other', None, None, None)"
6921,4,"('usc', 42, '6921', None)","('other', None, None, None)"
Clean Air Act sec 502,4,"('act_relative', None, None, None)","('other', None, None, None)"
CAAA sec 110,4,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4161 to 4166 (repealed as to offenses committed on or after November 1, 1987)",4,"('usc', 18, '1987', None)",""
INA sec. 212(a)(9)(C),4,"('act_relative', None, None, None)","('other', None, None, None)"
202(h) of the Telecommunications Act of 1996,4,"('act_relative', None, None, None)","('other', None, None, None)"
"Clean Air Act Amendments of 1990, sec 407(c)",4,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 328,4,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1834(a)(12) of the Social Security Act,4,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1834(i) of the Social Security Act,4,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1905 (a)(13) of the Social Security Act,4,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec 408(b)(19)(H),4,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 5006-5024 (repealed October 12, 1984 as to offenses committed after that date)",4,"('usc', 18, '1984', None)",""
U.S.C. 31311,4,"('usc', 49, '31311', None)","('other', None, None, None)"
sec 1321 and 1322,4,"('public_law', None, None, None)","('other', None, None, None)"
"Title IV of the Higher Education Act of 1965, as amended",4,"('act_relative', None, None, None)","('other', None, None, None)"
CWA Section 304,4,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1915(g) of the Social Security Act,4,"('act_relative', None, None, None)","('other', None, None, None)"
Section 112 of Clean Air Act,4,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 304(i),4,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1153(h)(2) of the Social Security Act,4,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 3568 (repealed November 1, 1987, as to offenses committed on or after that date)",4,"('usc', 18, '1987', None)",""
CAA Section 112,4,"('act_relative', None, None, None)","('other', None, None, None)"
CWA sec 318,4,"('act_relative', None, None, None)","('other', None, None, None)"
