authority_text,nrows,removed,added
"18 U.S.C. 3621, 3622, 3624, 4001, 4042, 4942, 4081, 4082 (Repealed in part as to conduct occurring on or after November 1, 1987), 5006 to 5024 (Repealed October 12, 1984, as to offense committed)",55,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
"18 U.S.C. 5006 to 5024 (repealed Oct. 12, 1984 as to offenses committed after that date)",54,"('usc', 18, '1984', None)",""
"Social Security Act, sec 1871",50,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 402,47,"('act_relative', None, None, None)","('other', None, None, None)"
Nuclear Waste Policy Act of 1982,47,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 308,47,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 1791, 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987)",45,"('usc', 18, '1987', None)",""
CAA 112,45,"('act_relative', None, None, None)","('other', None, None, None)"
Affordable Care Act,45,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1102",45,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 306,44,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act Amendments of 1990 sec 112,41,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987), 5006, 5024 (Repealed October 12, 1984 as to offenses committed on or after November 1, 1987)",40,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
CAA sec 111,40,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 1512, 3621, 3622, 3624, 4001, 4005, 4042, 4081, and 4082 (Repealed in part as to offenses committed on or after November 1, 1987)",40,"('usc', 18, '1987', None)",""
"18 USC 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987), 5006 5024 (Repealed October 12, 1984 as to offenses committed",40,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
"18 U.S.C. 5006 to 5024 (repealed Oct. 12, 1984, as to offenses committed after that date), 5039",39,"('usc', 18, '1984', None)",""
"CEA secs. 4(a), 4(c), and 8(a)(5)",39,"('act_relative', None, None, None)","('other', None, None, None)"
205(u) and 1631(e)(7) and 1129(l) of the Social Security Act,39,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 5006 to 5024 (repealed Oct. 12, 1984, as to offenses committed on or after Nov. 1, 1987)",39,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
Commercial Motor Vehicle Safety Act of 1986,36,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec. 505,36,"('act_relative', None, None, None)","('other', None, None, None)"
"Sections 1, 4(i), 4(j), 4(n), 201, 214, 218, 251(e)(3), 301, 303(b), 303(g), 303(j), 303(r), 307, 309, 316, 332, and 403 of the Communications Act of 1934, as amended",36,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 5006 to 5024 (Repealed October 12, 1984, as to offenses committed)",36,"('usc', 18, '1984', None)",""
Clean Air Act title I,34,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4161 to 4166 (repealed as to offenses committed on or after Nov. 1, 1987)",34,"('usc', 18, '1987', None)",""
Motor Carrier Safety Act of 1984,34,"('act_relative', None, None, None)","('other', None, None, None)"
Motor Carrier Act of 1935,33,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1818(d)(2)",33,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 307,33,"('act_relative', None, None, None)","('other', None, None, None)"
"42 U.S.C. 290dd-2 amended by the Coronavirus Aid, Relief, and Economic Security Act (the CARES Act), Pub. L. 116-136, sec. 3221 (March 27, 2020)",33,"('usc', 42, '2020', None)",""
"Clean Air Act Amendments of 1990, sec 112",32,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 5006 to 5024 (repealed Oct. 12, 1984, as to offenses committed after that date)",32,"('usc', 18, '1984', None)",""
Clean Air Act sec 111,32,"('act_relative', None, None, None)","('other', None, None, None)"
41708 and 41709,32,"('usc', 49, '41708', None) | ('usc', 49, '41709', None)","('other', None, None, None)"
