authority_text,nrows,transform,variant,base,after,kind
"23 USC 601, et. seq.",1,et-seq,"23 USC 601, et seq.","('partial',)","('ok',)",status
"23 U.S.C. 601, et. seq",1,et-seq,"23 U.S.C. 601, et seq.","('partial',)","('ok',)",status
19 USC 1671 et. seq.,1,et-seq,19 USC 1671 et seq.,"('partial',)","('ok',)",status
41 U.S.C. 3301 et. seq.,1,et-seq,41 U.S.C. 3301 et seq.,"('partial',)","('ok',)",status
"State of Michigan v. United States, 141 F 3d 662 (6th Cir. 1998)",1,whitespace:double,"State  of  Michigan  v.  United  States,  141  F  3d  662  (6th  Cir.  1998)","(('case_citation', None, None, None, None, None, None, None, None, None, None, None, None, 'F 3d', 141, 662, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
47 U.S.C . 325,1,usc-label:U.S.C.,47 U.S.C. . 325,"(('usc', 47, '325', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
47 U.S.C . 325,1,usc-label:U. S. C.,47 U. S. C. . 325,"(('usc', 47, '325', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
16 U.S.C. 703 et. seq.,1,et-seq,16 U.S.C. 703 et seq.,"('partial',)","('ok',)",status
7 USC 901 et. seq,1,et-seq,7 USC 901 et seq.,"('partial',)","('ok',)",status
42 U.S.C. 620 et. seq.,1,et-seq,42 U.S.C. 620 et seq.,"('partial',)","('ok',)",status
42 U.S.C. 6291 et. seq.,1,et-seq,42 U.S.C. 6291 et seq.,"('partial',)","('ok',)",status
16 USC 1531 et. seq.,1,et-seq,16 USC 1531 et seq.,"('partial',)","('ok',)",status
15 U.S.C. 78a et. seq.,1,et-seq,15 U.S.C. 78a et seq.,"('partial',)","('ok',)",status
15 U.S.C. 80a et. seq.,1,et-seq,15 U.S.C. 80a et seq.,"('partial',)","('ok',)",status
12 USC 1701 et. seq.,1,et-seq,12 USC 1701 et seq.,"('partial',)","('ok',)",status
7 U.S.C. 1621 et. seq.,1,et-seq,7 U.S.C. 1621 et seq.,"('partial',)","('ok',)",status
42 U.S.C. 670 et. seq.,1,et-seq,42 U.S.C. 670 et seq.,"('partial',)","('ok',)",status
7 U.S.C. 1501 et. seq.,1,et-seq,7 U.S.C. 1501 et seq.,"('partial',)","('ok',)",status
EO 114514,1,eo-label:Executive Order,Executive Order  114514,"(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('executive_order', None, None, None, None, None, None, None, '114514', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
42 U.S.C. 7401 et. seq.,1,et-seq,42 U.S.C. 7401 et seq.,"('partial',)","('ok',)",status
