authority_text,nrows,transform,variant,base,after,kind
"Executive Order 13388, Further Strengthening the Sharing of Terrorism Information to Protect Americans, 70 Fed. Reg. 62023 (October 27, 2005)",6,whitespace:double,"Executive  Order  13388,  Further  Strengthening  the  Sharing  of  Terrorism  Information  to  Protect  Americans,  70  Fed.  Reg.  62023  (October  27,  2005)","(('executive_order', None, None, None, None, None, None, None, '13388', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('federal_register', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 70, 62023, None, None, None, None, None, None, None, None, None, False, False))","(('executive_order', None, None, None, None, None, None, None, '13388', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"Executive Order 13526, Classified National Security Information, 75 Fed. Reg. 707 (January 5, 2010)",6,whitespace:double,"Executive  Order  13526,  Classified  National  Security  Information,  75  Fed.  Reg.  707  (January  5,  2010)","(('executive_order', None, None, None, None, None, None, None, '13526', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('federal_register', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 75, 707, None, None, None, None, None, None, None, None, None, False, False))","(('executive_order', None, None, None, None, None, None, None, '13526', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"U.S. Const., Art. II, Sec. 2",6,sec-marker:§,"U.S. Const., Art. II, § 2","('ok',)","('partial',)",status
"86 Fed. Reg. 8267 (Feb. 2, 2021)",5,whitespace:double,"86  Fed.  Reg.  8267  (Feb.  2,  2021)","(('federal_register', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 86, 8267, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"21 U.S.C. 601, et. seq.",5,et-seq,"21 U.S.C. 601, et seq.","('partial',)","('ok',)",status
"D.C. Official Code, sec 24-101",5,sec-marker:Section,"D.C. Official Code, Section 24-101","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-101', None, None, None, None, None, None, False, False),)","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"D.C. Official Code, sec 24-101",5,sec-marker:Sec.,"D.C. Official Code, Sec. 24-101","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-101', None, None, None, None, None, None, False, False),)","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
30 U.S.C. 181 et. seq.,5,et-seq,30 U.S.C. 181 et seq.,"('partial',)","('ok',)",status
"E.O. 13467, as amended (see 50 U.S.C..A. 3161 note)",5,usc-label:USC,"E.O. 13467, as amended (see 50 USC.A. 3161 note)","(('executive_order', None, None, None, None, None, None, None, '13467', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('executive_order', None, None, None, None, None, None, None, '13467', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('usc', 50, '3161', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, True))",identity
Not Applicable,5,whitespace:double,Not  Applicable,"(('unstated', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
588 F. 3d 158 (2d Cir 2009),5,whitespace:double,588  F.  3d  158  (2d  Cir  2009),"(('case_citation', None, None, None, None, None, None, None, None, None, None, None, None, 'F. 3d', 588, 158, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
21 U.S.C. 301 et. seq.,5,et-seq,21 U.S.C. 301 et seq.,"('partial',)","('ok',)",status
47 U.S.C . 154(j),5,usc-label:U.S.C.,47 U.S.C. . 154(j),"(('usc', 47, '154', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
47 U.S.C . 154(j),5,usc-label:U. S. C.,47 U. S. C. . 154(j),"(('usc', 47, '154', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"D.C. Official Code, sec. 24-101, sec. 24-461, sec. 24-465, sec. 24-467, and sec. 24-468",5,sec-marker:Section,"D.C. Official Code, Section 24-101, Section 24-461, Section 24-465, Section 24-467, and Section 24-468","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-101', None, None, None, None, None, None, False, False), ('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-461', None, None, None, None, None, None, False, False), ('dc_code', None, None, N","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"D.C. Official Code, sec. 24-101, sec. 24-461, sec. 24-465, sec. 24-467, and sec. 24-468",5,sec-marker:Sec.,"D.C. Official Code, Sec. 24-101, Sec. 24-461, Sec. 24-465, Sec. 24-467, and Sec. 24-468","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-101', None, None, None, None, None, None, False, False), ('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-461', None, None, None, None, None, None, False, False), ('dc_code', None, None, N","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"E.O. 13488, as amended (see 5 U.S.C.A. 7301 note) and Civil Service Rules II, V, and VI as amended and codified at 5 CFR 2, 5, and 6",5,usc-label:U.S.C.,"E.O. 13488, as amended (see 5 U.S.C..A. 7301 note) and Civil Service Rules II, V, and VI as amended and codified at 5 CFR 2, 5, and 6","(('cfr', None, None, None, None, 5, '2', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('executive_order', None, None, None, None, None, None, None, '13488', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('usc', 5, '5', None, None, No","(('cfr', None, None, None, None, 5, '2', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('executive_order', None, None, None, None, None, None, None, '13488', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False))",identity
"E.O. 13488, as amended (see 5 U.S.C.A. 7301 note) and Civil Service Rules II, V, and VI as amended and codified at 5 CFR 2, 5, and 6",5,usc-label:U. S. C.,"E.O. 13488, as amended (see 5 U. S. C..A. 7301 note) and Civil Service Rules II, V, and VI as amended and codified at 5 CFR 2, 5, and 6","(('cfr', None, None, None, None, 5, '2', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('executive_order', None, None, None, None, None, None, None, '13488', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('usc', 5, '5', None, None, No","(('cfr', None, None, None, None, 5, '2', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('executive_order', None, None, None, None, None, None, None, '13488', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False))",identity
"21 U.S.C. 1031, et. seq.",5,et-seq,"21 U.S.C. 1031, et seq.","('partial',)","('ok',)",status
21 U.S.C. 1031 et. seq.,5,et-seq,21 U.S.C. 1031 et seq.,"('partial',)","('ok',)",status
"Secretary of Labor's Order No. 1- 87 (52 FR 13139, 4/21/87)",4,whitespace:double,"Secretary  of  Labor's  Order  No.  1-  87  (52  FR  13139,  4/21/87)","(('administrative_order', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1-87', None, None, False, False), ('federal_register', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 52, 13139, None, None, None, None, None, None, None, None, None, False, False))","(('administrative_order', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, False, False), ('federal_register', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 52, 13139, None, None, None, None, None, None, None, None, None, False, False))",identity
25 U.S.C. 640a et. seq.,4,et-seq,25 U.S.C. 640a et seq.,"('partial',)","('ok',)",status
34 U.S.C. 1331 et. seq.,4,et-seq,34 U.S.C. 1331 et seq.,"('partial',)","('ok',)",status
21 U.S.C. 451 et. seq.,4,et-seq,21 U.S.C. 451 et seq.,"('partial',)","('ok',)",status
"21 U.S.C. 451, et. seq.",4,et-seq,"21 U.S.C. 451, et seq.","('partial',)","('ok',)",status
"12 U.S.C. 3901, et. seq.",4,et-seq,"12 U.S.C. 3901, et seq.","('partial',)","('ok',)",status
"sec 141 of the Compacts of Free Association With the Federated States of Micronesia and the Republic of the Marshall Islands, and With the Government of Palau",4,sec-marker:§,"§ 141 of the Compacts of Free Association With the Federated States of Micronesia and the Republic of the Marshall Islands, and With the Government of Palau","(('treaty', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"sec 141 of the Compacts of Free Association With the Federated States of Micronesia and the Republic of the Marshall Islands, and With the Government of Palau",4,sec-marker:Section,"Section 141 of the Compacts of Free Association With the Federated States of Micronesia and the Republic of the Marshall Islands, and With the Government of Palau","(('treaty', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
25 U.S.C. 1801 et. seq.,4,et-seq,25 U.S.C. 1801 et seq.,"('partial',)","('ok',)",status
21 U.S.C. 601 et. seq.,4,et-seq,21 U.S.C. 601 et seq.,"('partial',)","('ok',)",status
25 U.S.C. 1901 et. seq.,4,et-seq,25 U.S.C. 1901 et seq.,"('partial',)","('ok',)",status
5 USC 301 et. seq,4,et-seq,5 USC 301 et seq.,"('partial',)","('ok',)",status
6 U.S.C. 101 et. seq.,4,et-seq,6 U.S.C. 101 et seq.,"('partial',)","('ok',)",status
12 U.S.C. 221 et. seq.,4,et-seq,12 U.S.C. 221 et seq.,"('partial',)","('ok',)",status
12 U.S.C. 3103 et. seq.,4,et-seq,12 U.S.C. 3103 et seq.,"('partial',)","('ok',)",status
"16 U.S.C. 2401, et. seq.",4,et-seq,"16 U.S.C. 2401, et seq.","('partial',)","('ok',)",status
"Smith v. Berryhill, 139 S. Ct. 1765 (2019)",3,whitespace:double,"Smith  v.  Berryhill,  139  S.  Ct.  1765  (2019)","(('case_citation', None, None, None, None, None, None, None, None, None, None, None, None, 'S. Ct.', 139, 1765, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"U.S. Const., Art. II, sec. 2",3,sec-marker:§,"U.S. Const., Art. II, § 2","('ok',)","('partial',)",status
25 U.S.C. 3701 et. seq.,3,et-seq,25 U.S.C. 3701 et seq.,"('partial',)","('ok',)",status
43 USC 1331 et. seq,3,et-seq,43 USC 1331 et seq.,"('partial',)","('ok',)",status
D.C. Official Code sec 24-101,3,sec-marker:Section,D.C. Official Code Section 24-101,"(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-101', None, None, None, None, None, None, False, False),)","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
D.C. Official Code sec 24-101,3,sec-marker:Sec.,D.C. Official Code Sec. 24-101,"(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-101', None, None, None, None, None, None, False, False),)","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
EO 120383,3,eo-label:Executive Order,Executive Order  120383,"(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('executive_order', None, None, None, None, None, None, None, '120383', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
25 U.S.C. 2102 et. seq.,3,et-seq,25 U.S.C. 2102 et seq.,"('partial',)","('ok',)",status
42 USC 11371 et. seq,3,et-seq,42 USC 11371 et seq.,"('partial',)","('ok',)",status
42 USC 6901 et.seq.,3,et-seq,42 USC 6901 et seq.,"('partial',)","('ok',)",status
25 U.S.C. 396a et. seq.,3,et-seq,25 U.S.C. 396a et seq.,"('partial',)","('ok',)",status
42 USC 3601 et. seq,3,et-seq,42 USC 3601 et seq.,"('partial',)","('ok',)",status
30 U.S.C. 1701 et. seq.,3,et-seq,30 U.S.C. 1701 et seq.,"('partial',)","('ok',)",status
30 U.S.C. 151 et. seq.,3,et-seq,30 U.S.C. 151 et seq.,"('partial',)","('ok',)",status
"U.S. Const., Art. II, sec 2",3,sec-marker:§,"U.S. Const., Art. II, § 2","('ok',)","('partial',)",status
12 USC 5105 et. seq,2,et-seq,12 USC 5105 et seq.,"('partial',)","('ok',)",status
7 USC 901 et. seq.,2,et-seq,7 USC 901 et seq.,"('partial',)","('ok',)",status
30 USC 1201 et. seq.,2,et-seq,30 USC 1201 et seq.,"('partial',)","('ok',)",status
"8 CFR secs. 214.2, 274a.12",2,sec-marker:§,"8 CFR § 214.2, 274a.12","(('cfr', None, None, None, None, 8, '214', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('cfr', None, None, None, None, 8, '274a', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False))","(('cfr', None, None, None, None, 8, '214', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"8 CFR secs. 214.2, 274a.12",2,sec-marker:Section,"8 CFR Section 214.2, 274a.12","(('cfr', None, None, None, None, 8, '214', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('cfr', None, None, None, None, 8, '274a', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False))","(('cfr', None, None, None, None, 8, '214', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
12 U.S.C. 3901 et. seq,2,et-seq,12 U.S.C. 3901 et seq.,"('partial',)","('ok',)",status
"Secretary of Labor Order 02-2012, 75 Fed Reg 69378 (11/16/12)",2,whitespace:double,"Secretary  of  Labor  Order  02-2012,  75  Fed  Reg  69378  (11/16/12)","(('administrative_order', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '02-2012', None, None, False, False), ('federal_register', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 75, 69378, None, None, None, None, None, None, None, None, None, False, False))","(('administrative_order', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '02-2012', None, None, False, False),)",identity
20 U.S.C. 6301 et. seq.,2,et-seq,20 U.S.C. 6301 et seq.,"('partial',)","('ok',)",status
"8 CFR secs. 214.2, 274a.12",2,sec-marker:Sec.,"8 CFR Sec. 214.2, 274a.12","(('cfr', None, None, None, None, 8, '214', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('cfr', None, None, None, None, 8, '274a', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False))","(('cfr', None, None, None, None, 8, '214', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
29 U.S.C. 651 et. seq.,2,et-seq,29 U.S.C. 651 et seq.,"('partial',)","('ok',)",status
47 U.S.C . 154(i),2,usc-label:U.S.C.,47 U.S.C. . 154(i),"(('usc', 47, '154', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
47 U.S.C . 154(i),2,usc-label:U. S. C.,47 U. S. C. . 154(i),"(('usc', 47, '154', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
29 U.S.C. 49 et. seq.,2,et-seq,29 U.S.C. 49 et seq.,"('partial',)","('ok',)",status
12 U.S.C. 1841 et. seq..,2,et-seq,12 U.S.C. 1841 et seq..,"('partial',)","('ok',)",status
EO 111735,2,eo-label:Executive Order,Executive Order  111735,"(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('executive_order', None, None, None, None, None, None, None, '111735', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"42 U.S.C. 1861, et.seq.",2,et-seq,"42 U.S.C. 1861, et seq.","('partial',)","('ok',)",status
588 F 3d 158 (2d Cir 2009),2,whitespace:double,588  F  3d  158  (2d  Cir  2009),"(('case_citation', None, None, None, None, None, None, None, None, None, None, None, None, 'F 3d', 588, 158, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
