1,1
10,2
100,101
100,102
101,103
101,104
102,105
102,106
103,107
103,108
104,109
104,110
105,111
105,112
106,113
106,114
107,115
107,116
108,117
108,118
109,119
109,120
11,2
110,121
110,122
111,123
111,124
112,125
112,126
113,127
113,128
114,129
114,130
115,131
115,132
116,133
116,134
117,135
117,136
118,137
118,138
119,139
12,2
13,3
14,3
15,3
16,3
17,3
18,4
19,4
2,1
20,4
21,4
22,4
23,4
24,5
25,5
26,5
27,5
28,5
29,9
3,1
30,9
31,9
32,10
33,10
34,11
35,11
36,12
37,12
38,13
39,14
4,1
40,15
41,16
42,17
43,18
44,19
45,20
46,21
47,22
48,23
49,24
5,1
50,25
51,26
52,27
53,28
54,29
55,30
56,31
57,32
58,33
59,34
6,2
60,35
61,36
62,37
63,38
64,39
65,40
66,41
67,42
68,43
69,44
7,2
70,45
71,46
72,47
73,48
74,49
75,50
75,51
75,52
76,53
76,54
77,55
77,56
78,57
78,58
79,59
79,60
8,2
80,61
80,62
81,63
81,64
82,65
82,66
83,67
83,68
83,68A
84,69
84,70
84,70A
85,71
85,72
86,73
86,74
87,75
87,76
87,76A
88,77
88,78
89,79
89,80
9,2
90,81
90,82
91,83
91,84
92,85
92,86
93,87
93,88
93,89
94,89
94,90
95,91
95,92
96,93
96,94
97,95
97,96
98,97
98,98
99,100
99,99
