authority_text,usc_title,parsed_section,lettered_section_that_exists,rows
"16 USC 3, 16 USC 472, 16 USC 551, 16 USC 668(dd), 16 USC 3101 to 3126",16,668,668dd,4
21 U.S.C. 387(b),21,387,387b,4
12 USC 1790(d),12,1790,1790d,4
47 U.S.C. 615(c),47,615,615c,4
16 U.S.C. 971(a),16,971,971a,4
16 USC 685 and 690(d),16,690,690d,4
"42 U.S.C. 300g-3(h)(6), 42 U.S.C. 300(g)-2(a)(6), and 42 U.S.C. 300j-9(a)(1)",42,300,300g,4
7 USC 1736(o),7,1736,1736o,4
21 U.S.C. 387(g),21,387,387g,4
43 USC 375(e),43,375,375e,4
"16 U.S.C. 460l-6d, 472, 551, 620(f), 1133(c)-(d)(1), 1246(i), 1271 et seq.",16,620,620f,4
42 USC 300(g)(5) SDWA 1445,42,300,300g,4
42 USC 1395(n),42,1395,1395n,4
"16 USC 664, 16 USC 668(dd), 16 USC 685, 16 USC 690(d), 16 USC 715(i), 16 USC 725",16,715,715i,4
(42 USC 1302 and 1395(hh)),42,1395,1395hh,4
47 USC 399(b),47,399,399b,4
42 USC 1302 and 1395(hh),42,1395,1395hh,4
42 USC 1437(j),42,1437,1437j,3
"16 USC 460(k), 664, 668(dd), 685, 690(d), 715(i), 725",16,460,460k,3
16 USC 825(h),16,825,825h,3
"16 USC 3, 472, 551, 668(dd), 3101 to 3126",16,668,668dd,3
47 U.S.C. 615(a) and 615(b),47,615,615a,3
16 USC 460(k) to 460(k)(4),16,460,460k,3
15 USC 205(e),15,205,205e,3
19 U.S.C. 1551(a),19,1551,1551a,3
"16 U.S.C. 460l-6d, 472, 551, 620(f), 1133(c)-(d)(1), 1246(i)",16,620,620f,3
15 U.S.C. 77(h),15,77,77h,3
42 USC 1396(h),42,1396,1396h,3
42 USC 7671(c)(d)(6),42,7671,7671c,3
"42 USC 300(f), SDWA sec 1412",42,300,300f,3
15 U.S.C. 80b-6(a),15,80b-6,80b-6a,3
43 USC 931(c),43,931,931c,3
42 USC 1395(LL),42,1395,1395ll,3
"42 U.S.C. 7414, 7601, 7671 to 7671(q)",42,7671,7671q,3
16 USC 668(dd)-(ee),16,668,668dd,3
21 USC 346(a) to (q),21,346,346a,3
15 U.S.C. 77(f),15,77,77f,3
15 U.S.C. 77(j),15,77,77j,3
"16 USC 460(k), 664, 668(dd), 685, 690(d), 715(i), 725",16,690,690d,3
"42 USC 7414, 7601, 7671 to 7671(q)",42,7671,7671q,3
12 USC 1831(i),12,1831,1831i,3
12 U.S.C. 1772(a),12,1772,1772a,3
16 U.S.C. 460(k) et seq,16,460,460k,3
12 USC 1701(x),12,1701,1701x,3
21 USC 346 to 346(a),21,346,346a,3
12 USC 1795(f),12,1795,1795f,3
15 U.S.C. 77(g),15,77,77g,3
15 U.S.C. 77(s),15,77,77s,3
"16 USC 460(k), 664, 668(dd), 685, 690(d), 715(i), 725",16,715,715i,3
42 USC 12645(g),42,12645,12645g,3
"16 USC 460(k), 664, 668(dd), 685, 690(d), 715(i), 725",16,668,668dd,3
16 USC 410(hh) to 3233,16,410,410hh,3
12 USC 1715(y),12,1715,1715y,3
15 U.S.C. 57(a),15,57,57a,3
42 USC 1395(b),42,1395,1395b,2
33 USC 892(a),33,892,892a,2
15 U.S.C. 717 to 717(w),15,717,717w,2
42 USC 300(h) SDWA 1421 to 1425,42,300,300h,2
26 U.S.C. 6039(F),26,6039,6039f,2
10 USC 876(b),10,876,876b,2
42 USC 300(g)2,42,300,300g,2
42 USC 300(j)9,42,300,300j,2
42 USC 7671(g) Clean Air Act section 608,42,7671,7671g,2
42 USC 1395(rr)1,42,1395,1395rr,2
42 USC 300(j)11,42,300,300j,2
"22 USC 211a, 213, 2651(a), 2671(d)(3), 2714, 3926",22,2651,2651a,2
42 USC 629 to 629(c),42,629,629c,2
42 USC 1396(u)(3),42,1396,1396u,2
47 USC 615(a)(1) and 615(c),47,615,615a,2
16 USC 973 to 973(R),16,973,973r,2
7 USC 1431(e),7,1431,1431e,2
42 USC 300(f)(4) SDWA sec 1445,42,300,300f,2
16 U.S.C. 831 to 831(ee),16,831,831ee,2
42 U.S.C. 7671 to 7671(g),42,7671,7671g,2
15 U.S.C. 717 to 717(z),15,717,717z,2
12 USC 1831(n) note,12,1831,1831n,2
15 USC 714(c) to 714(f),15,714,714c,2
16 USC 777(c),16,777,777c,2
7 USC 1736(f),7,1736,1736f,2
"42 USC 1395(b)(3)(C), subpart H",42,1395,1395b,2
12 USC 1831(a),12,1831,1831a,2
16 USC 777(g) and 777g-1,16,777,777g,2
42 USC 1395(k),42,1395,1395k,2
"12 USC 1708(c), 1708(d), 1709(s), 1735(f)-14",12,1735,1735f,2
33 USC 892(b),33,892,892b,2
42 USC 300(g)(3c),42,300,300g,2
42 USC 7671(g),42,7671,7671g,2
25 USC 396(A) et seq,25,396,396a,2
21 USC 360(nn),21,360,360nn,2
"42 USC 7671(k) ""CAA 612""",42,7671,7671k,2
"42 USC 629(b)(a), 42 USC 652(a), 42 USC 654(a), 42 USC 671(a), 42 USC 1302, 42 USC 1396(a)",42,654,654a,2
7 USC 3319(a),7,3319,3319a,2
12 USC 1462(a),12,1462,1462a,2
42 U.S.C. 1395(x),42,1395,1395x,2
15 USC 1681(s),15,1681,1681s,2
"15 USC 636(b),15 USC 657(n)",15,657,657n,2
7 U.S.C. 6(p),7,6,6p,2
26 U.S.C. 4980(G),26,4980,4980g,2
16 USC 668(dd) to (ee),16,668,668dd,2
16 USC 559(a),16,559,559a,2
42 USC 7671(g) Clean Air Act sec 608,42,7671,7671g,2
29 USC 794(e),29,794,794e,2
42 USC 1395(a),42,1395,1395a,2
42 USC 1320(a),42,1320,1320a,2
