rin,majority_sig,minority_sig,reason,majority_n,minority_n,n_editions,shape,contiguous
0625-AB07,usc:15:4721,usc:15:4724,usc.field1.edit1,3,1,4,minority-prefix,true
0648-AG15,usc:16:1533,usc:16:1531,usc.field1.edit1,8,1,11,minority-suffix,true
0648-AG51,usc:33:883a,usc:33:883e,usc.field1.edit1,4,3,7,minority-suffix,true
0648-AH41,usc:16:1801,usc:16:1851,usc.field1.edit1,6,4,10,minority-suffix,true
0648-AH88,usc:16:1531,usc:16:1533,usc.field1.edit1,5,3,8,minority-suffix,true
0648-AL06,usc:16:1434,usc:16:1432,usc.field1.edit1,13,2,15,minority-prefix,true
0648-AL82,usc:16:1533,usc:16:1531,usc.field1.edit1,3,2,5,minority-prefix,true
0648-AN89,usc:16:1533,usc:16:1531,usc.field1.edit1,4,1,5,minority-prefix,true
0648-AU01,usc:16:791,usc:16:791a,usc.field1.trailing-char,11,5,22,minority-prefix,true
0648-AV85,usc:16:1431,usc:16:1439,usc.field1.edit1,20,12,32,minority-prefix,true
0648-AW62,usc:16:1801,usc:16:1851,usc.field1.edit1,9,1,10,minority-prefix,true
0648-AX63,usc:16:1826a,usc:16:1826,usc.field1.trailing-char,11,4,15,minority-suffix,true
0648-AX63,usc:16:971a,usc:16:971,usc.field1.trailing-char,11,4,15,minority-suffix,true
0648-AY21,usc:16:1361,usc:16:1361e,usc.field1.trailing-char,2,1,4,minority-prefix,true
0648-BA73,usc:16:1371,usc:16:1361,usc.field1.edit1,7,6,13,minority-suffix,true
0648-BA81,usc:16:1533,usc:16:1531,usc.field1.edit1,7,2,9,minority-suffix,true
0648-BB17,usc:16:1853,usc:16:1853a,usc.field1.trailing-char,2,1,5,minority-prefix,true
0648-BC45,usc:16:1531,usc:16:1533,usc.field1.edit1,8,5,13,minority-prefix,true
0648-BC68,usc:16:1531,usc:16:1539,usc.field1.edit1,3,1,4,minority-prefix,true
0648-BC69,usc:16:1361,usc:16:1371,usc.field1.edit1,3,1,4,minority-prefix,true
0651-AA50,usc:35:6,usc:35:2,usc.field1.edit1,9,1,10,minority-suffix,true
0651-AA92,usc:35:1115,usc:15:1115,usc.field0.edit1,2,1,3,minority-suffix,true
0651-AA98,usc:35:6,usc:35:2,usc.field1.edit1,3,2,5,minority-suffix,true
0651-AB01,usc:35:2,usc:35:6,usc.field1.edit1,4,3,7,minority-prefix,true
0651-AB04,usc:35:2,usc:35:6,usc.field1.edit1,3,1,4,minority-prefix,true
0651-AB05,usc:35:2,usc:35:6,usc.field1.edit1,2,1,3,minority-prefix,true
0651-AB06,usc:35:2,usc:35:6,usc.field1.edit1,2,1,3,minority-prefix,true
0651-AD75,usc:35:135,usc:35:153,usc.field1.transpose,2,1,3,minority-suffix,true
0651-AD79,usc:35:135,usc:35:153,usc.field1.transpose,2,1,3,minority-suffix,true
0651-AD79,usc:35:311-316,usc:35:311-312,usc.field1.edit1,2,1,3,minority-suffix,true
0660-AA09,usc:47:390-393,usc:47:290-393,usc.field1.edit1,2,1,3,minority-prefix,true
0692-AA17,usc:35:206,usc:35:209,usc.field1.edit1,9,2,11,minority-suffix,true
0694-AA52,usc:10:7429,usc:10:7420,usc.field1.edit1,8,4,17,minority-suffix,true
0694-AA52,usc:10:74301,usc:10:7430,usc.field1.trailing-char,8,4,17,minority-suffix,true
0694-AA52,usc:42:2139,usc:42:2139a,usc.field1.trailing-char,12,5,17,minority-suffix,true
0694-AB06,usc:42:2139a,usc:42:2139,usc.field1.trailing-char,11,8,23,minority-prefix,true
0694-AB06,usc:50:1701,usc:50:1710,usc.field1.transpose,11,8,23,minority-prefix,true
0694-AB25,usc:10:7420,usc:10:7429,usc.field1.edit1,10,8,18,minority-prefix,true
0694-AB28,usc:10:7429,usc:10:7420,usc.field1.edit1,8,5,13,minority-suffix,true
0694-AB41,usc:42:2139,usc:42:2139a,usc.field1.trailing-char,11,5,16,minority-suffix,true
0694-AB41,usc:50:1710,usc:50:1701,usc.field1.transpose,11,5,16,minority-suffix,true
0694-AB49,usc:42:2139,usc:42:2139a,usc.field1.trailing-char,10,7,17,minority-suffix,true
0694-AB49,usc:50:1710,usc:50:1701,usc.field1.transpose,10,7,17,minority-suffix,true
0694-AB53,usc:42:2139,usc:42:2139a,usc.field1.trailing-char,9,1,10,minority-suffix,true
