volume,year,last_page,evidence_issue,evidence_source,sitemap_url,sitemap_sha256,mods_url,mods_sha256,fetched_at,mods_volume_stated,mods_digital_origin
41,1976,57072,FR-1976-12-30,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1976_sitemap.xml,446bcb769c48243af3b6daae48a3ab4a42933bf05fae2fb19aab73ed31958888,https://www.govinfo.gov/metadata/pkg/FR-1976-12-30/mods.xml,d441207df322959054cf555e4075ffd5035468d9e351bf080afb5b8758a16813,2026-08-23T14:38:27.660166+00:00,41,reformatted digital
42,1977,65603,FR-1977-12-30,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1977_sitemap.xml,3932ded5fe9dd0aa2d2c8fd0f18d51267a79e6db3fe3ad0cc54b492f4764509d,https://www.govinfo.gov/metadata/pkg/FR-1977-12-30/mods.xml,8e0c6c1e402b0b45ce4e3ab30980283a1e6c2e63a3e3108327a37ae98c06cd5e,2026-08-23T14:38:28.183931+00:00,42,reformatted digital
43,1978,61261,FR-1978-12-29,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1978_sitemap.xml,7294148f4f87eeeeef1fe43b3aa6f87803506a49ba11d83277c5935527a5be85,https://www.govinfo.gov/metadata/pkg/FR-1978-12-29/mods.xml,c13b831ce7e560a01617171bed64d6179f4b36b3f3ce644ba8efc42abe19bdc2,2026-08-23T14:38:28.695661+00:00,43,reformatted digital
44,1979,77498,FR-1979-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1979_sitemap.xml,6a74729a2cea45628fa51cdc462087200b45b4387f8faba931043a2f549133be,https://www.govinfo.gov/metadata/pkg/FR-1979-12-31/mods.xml,246401fc09a9de71d0f72771ff5ca8d7018d3ad0dd31d6d9a083bd7badbf2fa5,2026-08-23T14:38:29.203514+00:00,44,reformatted digital
45,1980,87012,FR-1980-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1980_sitemap.xml,5113d98d8c9eb42a34c86a703910348e6d20025c89bc3dc11eca1817b8b8ca44,https://www.govinfo.gov/metadata/pkg/FR-1980-12-31/mods.xml,75dbd19fd43415ae6b68f3c50d974f3f0a799470bafc8488de42fcb765077414,2026-08-23T14:38:29.707157+00:00,45,reformatted digital
46,1981,63554,FR-1981-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1981_sitemap.xml,eb5ac40a8528d224c4292da0c19da62fd5541a2e7e8384ab6cdb522677441165,https://www.govinfo.gov/metadata/pkg/FR-1981-12-31/mods.xml,2dd8605b58784ca7e301ac8c3066272ceff21bdba918f08c9f4ac047372a7211,2026-08-23T14:38:30.199024+00:00,46,reformatted digital
47,1982,58494,FR-1982-12-30,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1982_sitemap.xml,402b36841e2d8e6278a17edf051d1be15c58eb49a1ed6cf2f29f8e55e8ee4332,https://www.govinfo.gov/metadata/pkg/FR-1982-12-30/mods.xml,6cc45e17b3a490b3a789c98b9b484fcbed1f72e7a22f23361b5356f97cc838bc,2026-08-23T14:38:30.700486+00:00,47,reformatted digital
48,1983,57704,FR-1983-12-30,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1983_sitemap.xml,b677b6e563f45fc7530f732df49710a4db8b02a130864114c3131eceb94d8d65,https://www.govinfo.gov/metadata/pkg/FR-1983-12-30/mods.xml,0b7bb7adaff840c1fddbf215dfdab8556389e9a8b96757b99aa490cdfcd312c5,2026-08-23T14:38:31.262768+00:00,48,reformatted digital
49,1984,50998,FR-1984-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1984_sitemap.xml,84631a2b828f7ee59f527826685fe52e2741271c8212a8312b0bee0e51900a5f,https://www.govinfo.gov/metadata/pkg/FR-1984-12-31/mods.xml,74a298b748ba83fe1727ee230fa87ffb6b8257146b14db8d9bb0f5611964c406,2026-08-23T14:38:31.775483+00:00,49,reformatted digital
50,1985,53480,FR-1985-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1985_sitemap.xml,2cad35c52ed2527132fbe6dc5be52a5047be620d72ba7459ce2d8447727dd273,https://www.govinfo.gov/metadata/pkg/FR-1985-12-31/mods.xml,db516ecf9b779ba997afaf910b31e4d176f23de63f2295768b749e472a78cc8c,2026-08-23T14:38:32.300713+00:00,50,reformatted digital
51,1986,47418,FR-1986-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1986_sitemap.xml,0c6e549fab5e1e7c44eb3f4a685dbf9ebee5a08f01e9ff93e5e6899ccc15fe94,https://www.govinfo.gov/metadata/pkg/FR-1986-12-31/mods.xml,eb5a1ecedc7f9913d7248cf6bcc259f281dddafb89aa9a6013b8d181ad9f2d88,2026-08-23T14:38:32.796085+00:00,51,reformatted digital
52,1987,49654,FR-1987-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1987_sitemap.xml,d3f89d3bc7cd67abfba6c9a284900fe3ac965604a2840de552aab57fcf9b3067,https://www.govinfo.gov/metadata/pkg/FR-1987-12-31/mods.xml,84d7bdbe5a68a53102ef4067b24fc30d1f37598036a49901f22b81ecc4735ccd,2026-08-23T14:38:33.302090+00:00,52,reformatted digital
53,1988,53376,FR-1988-12-30,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1988_sitemap.xml,c227970d26ab40e678331cd1c0dfaffe9802f9647d3a82a7b0abaa9a5b792072,https://www.govinfo.gov/metadata/pkg/FR-1988-12-30/mods.xml,175afb762ca8c6d36a62f2cee6afe9e67a19393fdde35ff3cee90877db6e72c7,2026-08-23T14:38:33.802412+00:00,53,reformatted digital
54,1989,53822,FR-1989-12-29,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1989_sitemap.xml,f4fbcb78e703efe009a2631ee9dcc41f56f2074a80854c0ca8d1b9be4e2c3f72,https://www.govinfo.gov/metadata/pkg/FR-1989-12-29/mods.xml,104bc85e5fbaacfa7b4524433ae5999a6c2f01b1dad4143e739149ed838f242c,2026-08-23T14:38:34.566572+00:00,54,reformatted digital
55,1990,53618,FR-1990-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1990_sitemap.xml,229fee3a379cfa7f6f0fbb9afce664b1664b966d1736392f935bd8d82e92ee01,https://www.govinfo.gov/metadata/pkg/FR-1990-12-31/mods.xml,e81c9c46db3d1cfa25e26d049ccbd1e177c2299aa5618ca0da37b87fb50a9891,2026-08-23T14:38:35.068511+00:00,55,reformatted digital
56,1991,67716,FR-1991-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1991_sitemap.xml,2967bbe43aa2e3dc660276c00216fcef861cf073392f8cb17cc59fd430309ca0,https://www.govinfo.gov/metadata/pkg/FR-1991-12-31/mods.xml,230c6abcbfc17e4ea9788448719b20fa638a79898ab3a7361bd7343f662b982b,2026-08-23T14:38:35.565482+00:00,56,reformatted digital
57,1992,62920,FR-1992-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1992_sitemap.xml,0e36cdc4b5f9cb29f614234a3880fa69bfafe4920a22a359af8571a12ad38807,https://www.govinfo.gov/metadata/pkg/FR-1992-12-31/mods.xml,bd3e945c73c688d92d03bf0b5650e134e771a8ffe6bab2fabb59da28b2280e49,2026-08-23T14:38:36.063174+00:00,57,reformatted digital
58,1993,69684,FR-1993-12-30,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1993_sitemap.xml,d5ece8eceb906a8fbe64701c5d7d3304b609bab7456efea704079542bd5e0164,https://www.govinfo.gov/metadata/pkg/FR-1993-12-30/mods.xml,98a84d4c28dd82482e1c4849b785aab1cd17df92e70d11ab79e1b2ccf9b78829,2026-08-23T14:38:36.566906+00:00,58,reformatted digital
