kind	rin	publication_id	ordinal	citation_ordinal	changes	authority_text
ADDED	2020-AA25	199510	1	1	(no row) -> rin='2020-AA25'; publication_id='199510'; ordinal=1; authority_text='33 USC 1321(c)(2)/CERCLA 107'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='9607'; act_key='cercla'; act_section='107'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:index-holds-a-bare-name-and-section'; authority_source='box'	33 USC 1321(c)(2)/CERCLA 107
ADDED	2020-AA25	199604	0	1	(no row) -> rin='2020-AA25'; publication_id='199604'; ordinal=0; authority_text='42 USC 9665 to 9857/CERCLA 115'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='9615'; act_key='cercla'; act_section='115'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:index-holds-a-bare-name-and-section'; authority_source='box'	42 USC 9665 to 9857/CERCLA 115
ADDED	2020-AA25	199604	1	1	(no row) -> rin='2020-AA25'; publication_id='199604'; ordinal=1; authority_text='33 USC 1321(c)(2)/CERCLA 107'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='9607'; act_key='cercla'; act_section='107'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:index-holds-a-bare-name-and-section'; authority_source='box'	33 USC 1321(c)(2)/CERCLA 107
ADDED	2020-AA25	199610	0	1	(no row) -> rin='2020-AA25'; publication_id='199610'; ordinal=0; authority_text='42 USC 9665 to 9857/CERCLA 115'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='9615'; act_key='cercla'; act_section='115'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:index-holds-a-bare-name-and-section'; authority_source='box'	42 USC 9665 to 9857/CERCLA 115
ADDED	2020-AA25	199610	1	1	(no row) -> rin='2020-AA25'; publication_id='199610'; ordinal=1; authority_text='33 USC 1321(c)(2)/CERCLA 107'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='9607'; act_key='cercla'; act_section='107'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:index-holds-a-bare-name-and-section'; authority_source='box'	33 USC 1321(c)(2)/CERCLA 107
ADDED	2020-AA25	199704	0	1	(no row) -> rin='2020-AA25'; publication_id='199704'; ordinal=0; authority_text='42 USC 9665 to 9857/CERCLA 115'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='9615'; act_key='cercla'; act_section='115'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:index-holds-a-bare-name-and-section'; authority_source='box'	42 USC 9665 to 9857/CERCLA 115
ADDED	2020-AA25	199704	1	1	(no row) -> rin='2020-AA25'; publication_id='199704'; ordinal=1; authority_text='33 USC 1321(c)(2)/CERCLA 107'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='9607'; act_key='cercla'; act_section='107'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:index-holds-a-bare-name-and-section'; authority_source='box'	33 USC 1321(c)(2)/CERCLA 107
ADDED	2020-AA28	199704	0	1	(no row) -> rin='2020-AA28'; publication_id='199704'; ordinal=0; authority_text='7 USC 136f/FIFRA 8'; authority_type='act_relative'; parse_status='corroborated'; usc_title=7; usc_section='136f'; act_key='federal insecticide, fungicide, and rodenticide act'; act_section='8'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:agency-roster-initialism'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 169'; authority_source='box'	7 USC 136f/FIFRA 8
ADDED	2020-AA29	199704	0	1	(no row) -> rin='2020-AA29'; publication_id='199704'; ordinal=0; authority_text='7 USC 136/FIFRA 6'; authority_type='act_relative'; parse_status='corroborated'; usc_title=7; usc_section='136d'; act_key='federal insecticide, fungicide, and rodenticide act'; act_section='6'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:agency-roster-initialism'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 168'; authority_source='box'	7 USC 136/FIFRA 6
ADDED	2040-AA13	199510	0	1	(no row) -> rin='2040-AA13'; publication_id='199510'; ordinal=0; authority_text='33 USC 1311/CWA 301'; authority_type='act_relative'; parse_status='corroborated'; usc_title=33; usc_section='1311'; act_key='clean water act'; act_section='301'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:agency-roster-initialism'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 439'; authority_source='box'	33 USC 1311/CWA 301
ADDED	2040-AA13	199510	1	1	(no row) -> rin='2040-AA13'; publication_id='199510'; ordinal=1; authority_text='33 USC 1314/CWA 304'; authority_type='act_relative'; parse_status='corroborated'; usc_title=33; usc_section='1314'; act_key='clean water act'; act_section='304'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:agency-roster-initialism'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 439'; authority_source='box'	33 USC 1314/CWA 304
ADDED	2040-AA13	199510	2	1	(no row) -> rin='2040-AA13'; publication_id='199510'; ordinal=2; authority_text='33 USC 1316/CWA 306'; authority_type='act_relative'; parse_status='corroborated'; usc_title=33; usc_section='1316'; act_key='clean water act'; act_section='306'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:agency-roster-initialism'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 439'; authority_source='box'	33 USC 1316/CWA 306
ADDED	2040-AA13	199510	3	1	(no row) -> rin='2040-AA13'; publication_id='199510'; ordinal=3; authority_text='33 USC 1317/CWA 307'; authority_type='act_relative'; parse_status='corroborated'; usc_title=33; usc_section='1317'; act_key='clean water act'; act_section='307'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:agency-roster-initialism'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 439'; authority_source='box'	33 USC 1317/CWA 307
ADDED	2040-AA13	199510	4	1	(no row) -> rin='2040-AA13'; publication_id='199510'; ordinal=4; authority_text='33 USC 1361/CWA 501'; authority_type='act_relative'; parse_status='corroborated'; usc_title=33; usc_section='1361'; act_key='clean water act'; act_section='501'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:agency-roster-initialism'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 439'; authority_source='box'	33 USC 1361/CWA 501
ADDED	2040-AA13	199604	0	1	(no row) -> rin='2040-AA13'; publication_id='199604'; ordinal=0; authority_text='33 USC 1311/CWA 301'; authority_type='act_relative'; parse_status='corroborated'; usc_title=33; usc_section='1311'; act_key='clean water act'; act_section='301'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:agency-roster-initialism'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 439'; authority_source='box'	33 USC 1311/CWA 301
ADDED	2040-AA13	199604	1	1	(no row) -> rin='2040-AA13'; publication_id='199604'; ordinal=1; authority_text='33 USC 1314/CWA 304'; authority_type='act_relative'; parse_status='corroborated'; usc_title=33; usc_section='1314'; act_key='clean water act'; act_section='304'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:agency-roster-initialism'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 439'; authority_source='box'	33 USC 1314/CWA 304
ADDED	2040-AA13	199604	2	1	(no row) -> rin='2040-AA13'; publication_id='199604'; ordinal=2; authority_text='33 USC 1316/CWA 306'; authority_type='act_relative'; parse_status='corroborated'; usc_title=33; usc_section='1316'; act_key='clean water act'; act_section='306'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:agency-roster-initialism'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 439'; authority_source='box'	33 USC 1316/CWA 306
