title,years_present
1,31
2,31
3,31
4,31
5,31
6,23
7,31
8,31
9,31
10,31
11,31
12,30
13,30
14,30
15,31
16,31
17,31
18,31
19,31
20,31
21,31
22,31
23,31
24,31
25,31
26,31
27,31
28,31
29,31
30,31
31,31
32,31
33,30
34,8
35,30
36,30
37,30
38,30
39,30
40,30
41,30
42,31
43,31
44,31
45,31
46,31
47,31
48,31
49,31
50,31
51,14
52,11
54,11
