usc_title,edition_year,usc_section,rin,bucket
10,1995,2301,9000-AF97,4-genuine-era-mismatch
10,1995,2301,9000-AF98,4-genuine-era-mismatch
10,1995,2301,9000-AF99,4-genuine-era-mismatch
10,1995,2301,9000-AG00,4-genuine-era-mismatch
10,1995,2301,9000-AG02,4-genuine-era-mismatch
10,1995,2301,9000-AG03,4-genuine-era-mismatch
10,1995,2301,9000-AG04,4-genuine-era-mismatch
10,1995,2301,9000-AG06,4-genuine-era-mismatch
10,1995,2301,9000-AG07,4-genuine-era-mismatch
10,1995,2301,9000-AG13,4-genuine-era-mismatch
10,1995,2301,9000-AG14,4-genuine-era-mismatch
10,1995,2301,9000-AE23,4-genuine-era-mismatch
10,1995,2301,9000-AE68,4-genuine-era-mismatch
10,1995,2301,9000-AF41,4-genuine-era-mismatch
10,1995,2301,9000-AF50,4-genuine-era-mismatch
10,1995,2301,9000-AF62,4-genuine-era-mismatch
10,1995,2301,9000-AF66,4-genuine-era-mismatch
10,1995,2301,9000-AF81,4-genuine-era-mismatch
10,1995,2301,9000-AF95,4-genuine-era-mismatch
10,1995,2301,9000-AF96,4-genuine-era-mismatch
10,1995,2301,9000-AG08,4-genuine-era-mismatch
10,1995,2301,9000-AG43,4-genuine-era-mismatch
10,1995,2301,9000-AG55,4-genuine-era-mismatch
10,1995,2301,9000-AG60,4-genuine-era-mismatch
10,1995,2301,9000-AG62,4-genuine-era-mismatch
47,1995,623,3060-AF48,4-genuine-era-mismatch
47,1995,624,3060-AF38,4-genuine-era-mismatch
46,1995,817,3072-AB89,4-genuine-era-mismatch
46,1995,844,3072-AB89,4-genuine-era-mismatch
46,1995,845,3072-AB89,4-genuine-era-mismatch
46,1995,841a,3072-AB80,4-genuine-era-mismatch
46,1995,804,3072-AB87,4-genuine-era-mismatch
46,1995,812,3072-AB87,4-genuine-era-mismatch
46,1995,814,3072-AB87,4-genuine-era-mismatch
46,1995,820,3072-AB87,4-genuine-era-mismatch
46,1995,833a,3072-AB87,4-genuine-era-mismatch
46,1995,841a,3072-AB87,4-genuine-era-mismatch
46,1995,843,3072-AB87,4-genuine-era-mismatch
46,1995,847,3072-AB87,4-genuine-era-mismatch
46,1995,815,3072-AB90,4-genuine-era-mismatch
46,1995,816,3072-AB90,4-genuine-era-mismatch
46,1995,820,3072-AB90,4-genuine-era-mismatch
46,1995,841a,3072-AB90,4-genuine-era-mismatch
46,1995,817,3072-AB78,4-genuine-era-mismatch
