kind	rin	publication_id	ordinal	citation_ordinal	changes	authority_text
CHANGED	0694-AC47	200710	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC47	200710	18	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app 2401 et seq
CHANGED	0694-AC47	200804	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC47	200804	18	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app 2401 et seq
CHANGED	0694-AC47	200810	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC47	200810	16	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app 2401 et seq
CHANGED	0694-AC47	200904	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC47	200904	21	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app. 2401 et seq
CHANGED	0694-AC47	200910	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC47	200910	21	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app 2401 et seq
CHANGED	0694-AC47	201004	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC47	201004	21	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app 2401 et seq
CHANGED	0694-AC47	201010	18	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC 2401 et seq
CHANGED	0694-AC47	201104	18	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC 2401 et seq
CHANGED	0694-AC47	201110	18	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC 2401 et seq
CHANGED	0694-AC58	200204	1	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC 2401
CHANGED	0694-AC58	200210	1	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC 2401
CHANGED	0694-AC61	200204	1	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 770' -> '15 CFR 732'	50 USC 2401
CHANGED	0694-AC61	200210	1	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 770' -> '15 CFR 732'	50 USC 2401
CHANGED	0694-AC65	200210	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC 2401
CHANGED	0694-AC65	200304	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC 2401
CHANGED	0694-AC75	200304	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 770' -> '15 CFR 742'	50 USC app 2401
CHANGED	0694-AC75	200310	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 770' -> '15 CFR 742'	50 USC app 2401
CHANGED	0694-AC75	200404	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 770' -> '15 CFR 742'	50 USC app 2401
CHANGED	0694-AC75	200410	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 770' -> '15 CFR 742'	50 USC app 2401
CHANGED	0694-AC84	200310	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC84	200404	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC84	200410	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC84	200504	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC84	200510	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC84	200604	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC84	200610	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC84	200704	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC84	200710	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC84	200804	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC84	200810	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC84	200904	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC84	200910	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC84	201004	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC84	201010	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401
CHANGED	0694-AC84	201104	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC 2401
CHANGED	0694-AC85	200310	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 740'	50 USC 2401
CHANGED	0694-AC85	200404	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 740'	50 USC 2401
CHANGED	0694-AC91	200310	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app. 2401
CHANGED	0694-AC91	200404	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app. 2401
CHANGED	0694-AC91	200410	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app. 2401
CHANGED	0694-AC92	200310	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401
CHANGED	0694-AC92	200404	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401
CHANGED	0694-AC94	200404	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app. 2401 et seq
CHANGED	0694-AC94	200410	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app 2401 et seq
CHANGED	0694-AC94	200504	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app 2401 et seq
CHANGED	0694-AC94	200510	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app 2401 et seq
CHANGED	0694-AC94	200604	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app 2401 et seq
CHANGED	0694-AC94	200610	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC app 2401 et seq
CHANGED	0694-AD09	200910	2	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 770' -> '15 CFR 732'	50 USC 2401
CHANGED	0694-AD14	200404	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401 et seq
CHANGED	0694-AD14	200504	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401 et seq
CHANGED	0694-AD14	200510	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC app 2401 et seq
CHANGED	0694-AD30	200410	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 734'	50 USC 2401
CHANGED	0694-AD30	200504	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 738'	50 USC 2401
CHANGED	0694-AD31	200410	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 770' -> '15 CFR 730'	50 USC 2401
CHANGED	0694-AD31	200504	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 770' -> '15 CFR 730'	50 USC 2401
CHANGED	0694-AD32	200410	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 756' -> '15 CFR 730'	50 USC app. 2401 et seq
CHANGED	0694-AD32	200504	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 756' -> '15 CFR 730'	50 USC app. 2401 et seq
CHANGED	0694-AD41	200504	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC 2401
CHANGED	0694-AD41	200510	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC 2401
CHANGED	0694-AD43	200504	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 732'	50 USC 2401
CHANGED	0694-AD48	200504	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 740'	50 USC app. 2401 et seq.
CHANGED	0694-AD48	200510	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 740'	50 USC app. 2401 et seq
CHANGED	0694-AD59	200704	4	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 760' -> '15 CFR 736'	50 USC app 2401 et seq
