cfr_part	rule	family	citation_old_to_new	note_text_verbatim
2:1600	compilation-locator	usc	31:1986 -> (removed)	Sec. 2455, Pub. L. 103-355, 108 Stat. 3327 (31 U.S.C. 6101 note); E.O. 12549, 51 FR 6370, 3 CFR, 1986 Comp., p. 189; E.O. 12689, 54 FR 34131, 3 CFR, 1989 Comp., p. 235.
2:1600	compilation-locator	usc	31:1989 -> (removed)	Sec. 2455, Pub. L. 103-355, 108 Stat. 3327 (31 U.S.C. 6101 note); E.O. 12549, 51 FR 6370, 3 CFR, 1986 Comp., p. 189; E.O. 12689, 54 FR 34131, 3 CFR, 1989 Comp., p. 235.
2:2000	compilation-locator	usc	31:1986 -> (removed)	5 U.S.C. 301; Sec. 2455, Pub. L. 103-355, 108 Stat. 3327 (31 U.S.C. 6101 note); E.O. 12549, 51 FR 6370, 3 CFR, 1986 Comp., p. 189; E.O. 12689, 54 FR 34131, 3 CFR, 1989 Comp., p. 235.
2:2000	compilation-locator	usc	31:1989 -> (removed)	5 U.S.C. 301; Sec. 2455, Pub. L. 103-355, 108 Stat. 3327 (31 U.S.C. 6101 note); E.O. 12549, 51 FR 6370, 3 CFR, 1986 Comp., p. 189; E.O. 12689, 54 FR 34131, 3 CFR, 1989 Comp., p. 235.
2:2205	dotted-cfr-section	usc	42:2540 -> (removed)	42 U.S.C. 12571(d), 12571(e)(2)(B), 12581(l), 12581a(a), 12616(c)(2), 12651c(c), 12651d(h), 12651g(b), 12653(a), 12653(h), 12653o(a), and 12657(a); 2 CFR part 200; 45 CFR 2521.95, and 2540.110.
2:2336	compilation-locator	usc	42:1986 -> (removed)	42 U.S.C. 902(a)(5); Sec. 2455, Pub. L. 103-355, 108 Stat. 3327; E.O. 12549 (3 CFR, 1986 Comp., p. 189); E.O. 12689 (3 CFR, 1989 Comp., p. 235).
2:2336	compilation-locator	usc	42:1989 -> (removed)	42 U.S.C. 902(a)(5); Sec. 2455, Pub. L. 103-355, 108 Stat. 3327; E.O. 12549 (3 CFR, 1986 Comp., p. 189); E.O. 12689 (3 CFR, 1989 Comp., p. 235).
2:2520	compilation-locator	usc	42:1986 -> (removed)	42 U.S.C. 1870(a); Sec. 2455, Pub. L. 103-355, 108 Stat. 3327; E.O. 12549, 3 CFR, 1986 Comp., p. 189; E.O. 12689, 3 CFR, 1989 Comp., p. 235.
2:2520	compilation-locator	usc	42:1989 -> (removed)	42 U.S.C. 1870(a); Sec. 2455, Pub. L. 103-355, 108 Stat. 3327; E.O. 12549, 3 CFR, 1986 Comp., p. 189; E.O. 12689, 3 CFR, 1989 Comp., p. 235.
2:2700	compilation-locator	usc	31:1986 -> (removed)	Sec. 2455, Pub. L. 103-355, 108 Stat. 3327 (31 U.S.C. 6101 note); E.O. 12549 (3 CFR, 1986 Comp., p. 189); E.O. 12689 (3 CFR, 1989, 1986 Comp., p. 235); 15 U.S.C. 634(b)(6).
2:2700	compilation-locator	usc	31:1989 -> (removed)	Sec. 2455, Pub. L. 103-355, 108 Stat. 3327 (31 U.S.C. 6101 note); E.O. 12549 (3 CFR, 1986 Comp., p. 189); E.O. 12689 (3 CFR, 1989, 1986 Comp., p. 235); 15 U.S.C. 634(b)(6).
2:2998	compilation-locator	usc	5:1986 -> (removed)	5 U.S.C. 301; E.O. 12549 (3 CFR, 1986 Comp., p.189); E.O. 12689 (3 CFR, 1989 Comp., p.235); sec 2455 Pub. L. 103-355, 108 Stat. 3327 (31 U.S.C. 6101 note).
2:2998	compilation-locator	usc	5:1989 -> (removed)	5 U.S.C. 301; E.O. 12549 (3 CFR, 1986 Comp., p.189); E.O. 12689 (3 CFR, 1989 Comp., p.235); sec 2455 Pub. L. 103-355, 108 Stat. 3327 (31 U.S.C. 6101 note).
2:3185	compilation-locator	usc	20:1986 -> (removed)	20 U.S.C. 9103(f); Sec. 2455, Pub. L. 103-355, 108 Stat. 3327; E.O. 12549, 3 CFR, 1986 Comp., p. 189; E.O. 12689, 3 CFR, 1989 Comp., p. 235.
2:3185	compilation-locator	usc	20:1989 -> (removed)	20 U.S.C. 9103(f); Sec. 2455, Pub. L. 103-355, 108 Stat. 3327; E.O. 12549, 3 CFR, 1986 Comp., p. 189; E.O. 12689, 3 CFR, 1989 Comp., p. 235.
2:3369	compilation-locator	usc	20:1986 -> (removed)	20 U.S.C. 959(a)(1); Sec. 2455, Pub. L. 103-355, 108 Stat. 3327; E.O. 12549, 3 CFR, 1986 Comp., p. 189; E.O. 12689, 3 CFR, 1989 Comp., p. 235.
2:3369	compilation-locator	usc	20:1989 -> (removed)	20 U.S.C. 959(a)(1); Sec. 2455, Pub. L. 103-355, 108 Stat. 3327; E.O. 12549, 3 CFR, 1986 Comp., p. 189; E.O. 12689, 3 CFR, 1989 Comp., p. 235.
