kind	rin	publication_id	ordinal	citation_ordinal	changes	authority_text
CHANGED	3060-AH19	199904	8	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '47 CFR 80' -> '47 CFR 0'	47 USC 4(i)
CHANGED	3060-AH19	199904	9	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '47 CFR 80' -> '47 CFR 0'	47 USC 4(j)
CHANGED	3060-AH19	199910	8	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '47 CFR 80' -> '47 CFR 0'	47 USC 4(i)
CHANGED	3060-AH19	199910	9	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '47 CFR 80' -> '47 CFR 0'	47 USC 4(j)
CHANGED	3060-AH19	200004	1	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '47 CFR 80' -> '47 CFR 0'	47 USC 4(j)
CHANGED	3060-AH19	200004	11	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '47 CFR 80' -> '47 CFR 0'	47 USC 4(i)
CHANGED	3060-AH19	200010	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '47 CFR 80' -> '47 CFR 1'	47 USC 4(i)
CHANGED	3060-AH19	200010	1	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '47 CFR 80' -> '47 CFR 1'	47 USC 4(j)
