rin	publication_id	edition_year	usc_title	usc_section	usc_appendix	authority_text	whole_citation
0651-AC74	201210	2012	35	2	False	35 USC 2(b)(2)	35 USC 2(b)(2)
0651-AC74	201210	2012	35	21	False	35 USC 21	35 USC 21
0651-AC74	201210	2012	35	23	False	35 USC 23	35 USC 23
0651-AC74	201210	2012	35	41	False	35 USC 41	35 USC 41
0651-AC74	201210	2012	35	6	False	35 USC 6	35 USC 6
0651-AC75	201210	2012	35	2	False	35 USC 2(b)(2)	35 USC 2(b)(2)
0651-AC75	201210	2012	35	21	False	35 USC 21	35 USC 21
0651-AC75	201210	2012	35	23	False	35 USC 23	35 USC 23
0651-AC75	201210	2012	35	321	False	35 USC 321-329	35 USC 321-329
0651-AC75	201210	2012	35	41	False	35 USC 41	35 USC 41
0651-AC75	201210	2012	35	6	False	35 USC 6	35 USC 6
0651-AC76	201210	2012	35	2	False	35 USC 2(b)(2)	35 USC 2(b)(2)
0651-AC76	201210	2012	35	32	False	35 USC 32	35 USC 32
0651-AC77	201210	2012	35	102	False	35 USC 102	35 USC 102
0651-AC77	201210	2012	35	103	False	35 USC 103	35 USC 103
0651-AC77	201210	2012	35	2	False	35 USC 2(b)(2)	35 USC 2(b)(2)
0651-AC78	201210	2012	35	123	False	35 USC 123	35 USC 123
0651-AC78	201210	2012	35	2	False	35 USC 2(b)(2)	35 USC 2(b)(2)
0651-AC79	201210	2012	35	2	False	35 USC 2(b)(2)	35 USC 2(b)(2)
0651-AC80	201210	2012	35	2	False	35 USC 2	35 USC 2
0702-AA63	201210	2012	38	2402	False	38 USC 2402 note, 2409, 2410, 2411, 2413	38 USC 2402 note, 2409, 2410, 2411, 2413
0702-AA63	201210	2012	38	2409	False	38 USC 2402 note, 2409, 2410, 2411, 2413	38 USC 2402 note, 2409, 2410, 2411, 2413
0702-AA63	201210	2012	38	2410	False	38 USC 2402 note, 2409, 2410, 2411, 2413	38 USC 2402 note, 2409, 2410, 2411, 2413
0702-AA63	201210	2012	38	2411	False	38 USC 2402 note, 2409, 2410, 2411, 2413	38 USC 2402 note, 2409, 2410, 2411, 2413
0702-AA63	201210	2012	38	2413	False	38 USC 2402 note, 2409, 2410, 2411, 2413	38 USC 2402 note, 2409, 2410, 2411, 2413
0702-AA63	201210	2012	40	9102	False	40 USC 9102	40 USC 9102
0710-AA60	201210	2012	33	1344	False	33 USC 1344	33 USC 1344
0710-AA60	201210	2012	33	1413	False	33 USC 1413	33 USC 1413
0710-AA60	201210	2012	33	401	False	33 USC 401 et seq	33 USC 401 et seq
0710-AA66	201210	2012	33	1319	False	33 USC 1319	33 USC 1319
0710-AA69	201210	2012	33	621	False	33 USC 621	33 USC 621
0710-AA70	201210	2012	33	1344	False	33 USC 1344	33 USC 1344
0710-AA70	201210	2012	33	1413	False	33 USC 1413	33 USC 1413
0710-AA70	201210	2012	33	401	False	33 USC 401	33 USC 401
0710-AA71	201210	2012	33	1344	False	33 USC 1344	33 USC 1344
0710-AA71	201210	2012	33	403	False	33 USC 403	33 USC 403
0750-AG40	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AG47	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AG58	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AG83	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AG94	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AG95	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AG96	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AG99	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH11	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH19	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH28	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH29	201210	2012	41	134	False	41 USC 134	41 USC 134
0750-AH38	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH39	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH40	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH41	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH42	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH43	201210	2012	41	1707	False	41 USC 1707	41 USC 1707
0750-AH43	201210	2012	41	1905	False	41 USC 1905	41 USC 1905
0750-AH43	201210	2012	41	1906	False	41 USC 1906	41 USC 1906
0750-AH44	201210	2012	41	1707	False	41 USC 1707	41 USC 1707
0750-AH45	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH46	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH47	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH48	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH49	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH50	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH51	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH52	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH53	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH54	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH55	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH56	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH57	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH58	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH59	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH61	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH63	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH64	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH65	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH65	201210	2012	41	1908	False	41 USC 1908	41 USC 1908
0750-AH66	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH67	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH68	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH68	201210	2012	41	1707	False	41 USC 1707	41 USC 1707
0750-AH69	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH70	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH71	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH72	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH73	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH75	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH76	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH78	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH79	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH80	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH81	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
