         195320051 function calls (194598521 primitive calls) in 39.462 seconds

   Ordered by: cumulative time
   List reduced from 301 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    99604    0.043    0.000    0.043    0.000 {method 'match' of 're.Pattern' objects}
        5    0.000    0.000    0.042    0.008 logical_constraints.py:307(evaluate)
        5    0.001    0.000    0.042    0.008 logical_constraints.py:325(_evaluate_or_constraint)
   668423    0.041    0.000    0.041    0.000 {built-in method unicodedata.category}
     4079    0.009    0.000    0.038    0.000 cardinality_constraints.py:126(__init__)
    25581    0.018    0.000    0.037    0.000 shape.py:171(__str__)
     4104    0.005    0.000    0.034    0.000 shape_based_constraints.py:55(__init__)
    53963    0.008    0.000    0.030    0.000 memory.py:548(prefix)
   524521    0.029    0.000    0.029    0.000 term.py:768(value)
     4167    0.003    0.000    0.029    0.000 term.py:458(__new__)
       89    0.000    0.000    0.025    0.000 logical_constraints.py:73(evaluate)
       89    0.000    0.000    0.025    0.000 logical_constraints.py:94(_evaluate_not_constraint)
     4165    0.008    0.000    0.024    0.000 term.py:641(__new__)
   364109    0.023    0.000    0.023    0.000 term.py:776(datatype)
     4167    0.003    0.000    0.023    0.000 uuid.py:723(uuid4)
     2059    0.004    0.000    0.020    0.000 cardinality_constraints.py:37(__init__)
    10418    0.002    0.000    0.019    0.000 validate.py:995(__bool__)
    83172    0.013    0.000    0.018    0.000 __init__.py:529(store)
    10608    0.001    0.000    0.018    0.000 graph.py:1046(subject_objects)
   310566    0.018    0.000    0.018    0.000 {built-in method builtins.hash}
        1    0.011    0.011    0.017    0.017 string_based_constraints.py:395(_evaluate_string_rule)
        1    0.000    0.000    0.016    0.016 {built-in method builtins.any}
        2    0.000    0.000    0.016    0.008 validate.py:1000(<genexpr>)
        2    0.000    0.000    0.014    0.007 shapes_graph.py:164(shapes)
        2    0.001    0.000    0.014    0.007 shapes_graph.py:202(_build_node_shape_cache)
    97481    0.011    0.000    0.014    0.000 {built-in method builtins.getattr}
   238968    0.013    0.000    0.013    0.000 term.py:772(language)
    29021    0.005    0.000    0.013    0.000 term.py:164(__ne__)
    24849    0.009    0.000    0.013    0.000 term.py:237(startswith)
4196/4193    0.003    0.000    0.012    0.000 stringify.py:15(wrapped)
    39286    0.007    0.000    0.011    0.000 __init__.py:1517(debug)
     4167    0.010    0.000    0.010    0.000 {built-in method posix.urandom}
     4167    0.008    0.000    0.010    0.000 uuid.py:139(__init__)
2864/2038    0.001    0.000    0.010    0.000 graph.py:1311(transitive_subjects)
    16446    0.003    0.000    0.009    0.000 shapes_graph.py:186(is_filtered_out_shape)
     4165    0.005    0.000    0.009    0.000 term.py:2091(_castPythonToLiteral)
4196/4193    0.004    0.000    0.008    0.000 stringify.py:28(stringify_blank_node)


