         93038810 function calls (92493974 primitive calls) in 18.647 seconds

   Ordered by: cumulative time
   List reduced from 300 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       89    0.000    0.000    0.040    0.000 logical_constraints.py:73(evaluate)
   668423    0.040    0.000    0.040    0.000 {built-in method unicodedata.category}
       89    0.000    0.000    0.040    0.000 logical_constraints.py:94(_evaluate_not_constraint)
    25244    0.017    0.000    0.035    0.000 shape.py:171(__str__)
     4104    0.004    0.000    0.033    0.000 shape_based_constraints.py:55(__init__)
    53963    0.008    0.000    0.029    0.000 memory.py:548(prefix)
   453930    0.027    0.000    0.027    0.000 term.py:768(value)
     4028    0.017    0.000    0.023    0.000 cardinality_constraints.py:179(evaluate)
     4167    0.003    0.000    0.023    0.000 term.py:458(__new__)
     4165    0.007    0.000    0.022    0.000 term.py:641(__new__)
    10418    0.002    0.000    0.019    0.000 validate.py:998(__bool__)
    83172    0.012    0.000    0.018    0.000 __init__.py:529(store)
     4167    0.003    0.000    0.017    0.000 uuid.py:723(uuid4)
     2022    0.004    0.000    0.017    0.000 cardinality_constraints.py:37(__init__)
    10134    0.001    0.000    0.017    0.000 graph.py:1046(subject_objects)
        1    0.000    0.000    0.016    0.016 {built-in method builtins.any}
        2    0.000    0.000    0.016    0.008 validate.py:1003(<genexpr>)
        1    0.009    0.009    0.015    0.015 string_based_constraints.py:395(_evaluate_string_rule)
   293606    0.013    0.000    0.013    0.000 term.py:776(datatype)
    29021    0.004    0.000    0.013    0.000 term.py:164(__ne__)
    24849    0.008    0.000    0.012    0.000 term.py:237(startswith)
4196/4193    0.003    0.000    0.011    0.000 stringify.py:15(wrapped)
   168553    0.010    0.000    0.010    0.000 term.py:772(language)
    38417    0.007    0.000    0.010    0.000 __init__.py:1517(debug)
        2    0.000    0.000    0.009    0.004 shapes_graph.py:164(shapes)
        2    0.001    0.000    0.009    0.004 shapes_graph.py:202(_build_node_shape_cache)
    16446    0.003    0.000    0.009    0.000 shapes_graph.py:186(is_filtered_out_shape)
     4165    0.005    0.000    0.008    0.000 term.py:2091(_castPythonToLiteral)
     4167    0.007    0.000    0.008    0.000 uuid.py:139(__init__)
       98    0.000    0.000    0.008    0.000 other_constraints.py:321(evaluate)
       98    0.000    0.000    0.008    0.000 other_constraints.py:339(_evaluate_has_value)
    73030    0.008    0.000    0.008    0.000 {method 'add' of 'set' objects}
     8223    0.003    0.000    0.008    0.000 shape.py:132(get_other_shape)
4196/4193    0.003    0.000    0.008    0.000 stringify.py:28(stringify_blank_node)
        1    0.007    0.007    0.007    0.007 {method 'copy' of 'set' objects}
    29114    0.005    0.000    0.007    0.000 memory.py:545(namespace)
    99899    0.007    0.000    0.007    0.000 {method 'lower' of 'str' objects}


