document_number,volume,start_page,end_page,publication_date,citation,type,title,regulation_id_numbers,agencies,docket_ids,rin_agency_prefixes,html_url,fetched_at,source_sha256
2016-23432,81,66900,66911,2016-09-29,81 FR 66900,Proposed Rule,Federal Baseline Water Quality Standards for Indian Reservations,2040-AF62,ENVIRONMENTAL PROTECTION AGENCY,EPA-HQ-OW-2016-0405;FRL-9953-19-OW,,https://www.federalregister.gov/documents/2016/09/29/2016-23432/federal-baseline-water-quality-standards-for-indian-reservations,2026-08-23,e183c16d3d33d57c92ed6c4e869db154304dacb570fa696ff1e653f0efeca479
2020-09815,85,34525,34527,2020-06-05,85 FR 34525,Rule,Establishing a 5G Fund for Rural America; Universal Service Reform-Mobility Fund,,FEDERAL COMMUNICATIONS COMMISSION,"GN Docket No. 20-32, WT Docket No. 10-208 (Closed);FCC 20-52;FRS 16722",3060,https://www.federalregister.gov/documents/2020/06/05/2020-09815/establishing-a-5g-fund-for-rural-america-universal-service-reform-mobility-fund,2026-08-23,5a3a701f698e1d5436c5ddf9d3b2b43e39c178828383207b8194713ee0e78984
2020-21071,85,62651,62679,2020-10-05,85 FR 62651,Proposed Rule,"Operational Risk Assessments for Waterfront Facilities Handling Liquefied Natural Gas as Fuel, and Updates to Industry Standards",1625-AC52,DEPARTMENT OF HOMELAND SECURITY;Coast Guard,Docket No. USCG-2019-0444,,https://www.federalregister.gov/documents/2020/10/05/2020-21071/operational-risk-assessments-for-waterfront-facilities-handling-liquefied-natural-gas-as-fuel-and,2026-08-23,e924db7d3531763bfd0da514e02153173cb01495c6c66149e0715dd5d671c5ff
2020-24486,85,75770,75828,2020-11-25,85 FR 75770,Rule,Establishing a 5G Fund for Rural America,,FEDERAL COMMUNICATIONS COMMISSION,GN Docket No. 20-32;FCC 20-150;FRS 17211,3060,https://www.federalregister.gov/documents/2020/11/25/2020-24486/establishing-a-5g-fund-for-rural-america,2026-08-23,e12dc7eb6a3ef159d62b96f3948f1965e56ecafc1f2cb5e26a1b77f7f62334ba
2024-29238,89,102091,102100,2024-12-17,89 FR 102091,Proposed Rule,Seafood Import Procedures and Certification of Admissibility,0648-BK86,DEPARTMENT OF COMMERCE;National Oceanic and Atmospheric Administration,Docket No. 241010-0269,,https://www.federalregister.gov/documents/2024/12/17/2024-29238/seafood-import-procedures-and-certification-of-admissibility,2026-08-23,ed714dda3b8ebbedd8918daf8b15f3b592ea9195ec3e6d46221b0a54dec6fe0d
2024-29633,89,102207,102211,2024-12-17,89 FR 102207,Notice,"Self-Regulatory Organizations; Nasdaq BX, Inc.; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend Certain Fees Based on the Rate of Inflation",,,,,,2026-08-23,6aea3e4921da3af46a8dd898f7ef29253f58476df2237ab26e1ed4b63ec6d698
